,2023-07-15,2023-07-22,2023-07-29,2023-08-05,2023-08-12,2023-08-19,2023-08-26,2023-09-02,2023-09-09,2023-09-16,2023-09-23,2023-09-30,2023-10-07,2023-10-14,2023-10-21,2023-10-28,2023-11-04,2023-11-11,2023-11-18,2023-11-25,2023-12-02,2023-12-09,2023-12-16,2023-12-23,2023-12-30,2024-01-06,2024-01-13,2024-01-20,2024-01-27,2024-02-03,2024-02-10,2024-02-17,2024-02-24,2024-03-02,2024-03-09,2024-03-16,2024-03-23,2024-03-30,2024-04-06,2024-04-13,2024-04-20,2024-04-27,2024-05-04,2024-05-11,2024-05-18,2024-05-25,2024-06-01,2024-06-08,2024-06-15,2024-06-22,2024-06-29
10,SHELL/BG,PETRORIO,VALID,VALID,GLOBENET (VTAL),CAMORIM,VINCI PARTNERS (FUNDOS),SISTAC,BEMISA (Opportunity),DISTRIBUIDORA RECORD,BUREAU VERITAS,MR. CAT (Grumari),MR. CAT (Grumari),VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,F,F,PETRORIO,PETRORIO,PETRORIO,VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,ÁGUAS DO BRASIL,VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,PETRORIO,PETRORIO,F,F,PETRORIO
11,GRUPO SOMA,PETRORIO,VALID,VALID,COMMIT (GASPETRO),Matrincha Transm. de Energia (MTE),BEMISA (Opportunity),DESCOMPLICA,BUREAU VERITAS,CORPSERVICES,BARCELOS,GLOBO - RADIOS,GLOBO - RADIOS,VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,F,F,PETRORIO,PETRORIO,PETRORIO,VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,ÁGUAS DO BRASIL,VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,PETRORIO,PETRORIO,F,F,PETRORIO
12,TOTAL,HAZTEC (ORIZON),PETRORIO,ÁGUAS DO BRASIL,BR MALLS,CERAS JOHNSON,PUIG O'NIQUE,GLOBO - CAFÉ ORFEU,S2,Reichhold do Brasil (Polyint Group),CONEXA SAÚDE,SERTANEJA,TAG,PETRORIO,PETRORIO,PETRORIO,ÁGUAS DO BRASIL,PETRORIO,PETRORIO,PETRORIO,PETRORIO,PETRORIO,PETRORIO,F,F,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,PETRORIO,PETRORIO,PETRORIO,PETRORIO,PETRORIO,PETRORIO,PETRORIO,PETRORIO,ÁGUAS DO BRASIL,HAZTEC (ORIZON),ÁGUAS DO BRASIL,PETRORIO,PETRORIO,PETRORIO,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,PETRORIO,PETRORIO,HAZTEC (ORIZON),HAZTEC (ORIZON),F,F,HAZTEC (ORIZON)
13,GGSH,HAZTEC (ORIZON),PETRORIO,ÁGUAS DO BRASIL,ALIANSCE,MARINE PRODUCTION SYSTEM DO BRASIL LTDA. ,S2,DIMENSIONAL (Benfour),CONEXA SAÚDE,FUGRO,MAN DIESEL & TURBO,LABORATORIES SERVIER,FUNDOS BBI Fin Health - Investidas,PETRORIO,PETRORIO,PETRORIO,ÁGUAS DO BRASIL,PETRORIO,PETRORIO,PETRORIO,PETRORIO,PETRORIO,PETRORIO,F,F,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,PETRORIO,PETRORIO,PETRORIO,PETRORIO,PETRORIO,PETRORIO,PETRORIO,PETRORIO,ÁGUAS DO BRASIL,HAZTEC (ORIZON),ÁGUAS DO BRASIL,PETRORIO,PETRORIO,PETRORIO,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,PETRORIO,PETRORIO,HAZTEC (ORIZON),HAZTEC (ORIZON),F,F,HAZTEC (ORIZON)
14,EQUINOR,SHELL/BG,ÁGUAS DO BRASIL,NISSAN,V2i,AET STS,AMOEDO,BOLT Energia,DGPAR (ALL CARE),FCC,Zeedog,CHANNEL (EUROPRESTIGIO),AXXON (BR MARINAS),HAZTEC (ORIZON),HAZTEC (ORIZON),ÁGUAS DO BRASIL,HAZTEC (ORIZON),ÁGUAS DO BRASIL,HAZTEC (ORIZON),ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,F,F,NISSAN,NISSAN,NISSAN,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,HAZTEC (ORIZON),SOTREQ,NISSAN,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,HAZTEC (ORIZON),HAZTEC (ORIZON),ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,SOTREQ,SOTREQ,F,F,SOTREQ
15,EVOLTZ,GRUPO SOMA,ÁGUAS DO BRASIL,NISSAN,PROFARMA,TELEPAZIO BRASIL (Leonardo),DGPAR (ALL CARE),GALP,Zeedog,GEOPARK,SUBSEA 7,SONANGOL STARFISH,GLOBO - FAMILY OFFICE,HAZTEC (ORIZON),HAZTEC (ORIZON),ÁGUAS DO BRASIL,HAZTEC (ORIZON),ÁGUAS DO BRASIL,HAZTEC (ORIZON),ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,F,F,NISSAN,NISSAN,NISSAN,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,HAZTEC (ORIZON),GLOBENET (VTAL),NISSAN,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,HAZTEC (ORIZON),HAZTEC (ORIZON),ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,GLOBENET (VTAL),GLOBENET (VTAL),F,F,GLOBENET (VTAL)
16,TECHNOS,TOTAL,HAZTEC (ORIZON),GLOBENET (VTAL),D1000,H. STTRATNER,ASPEN PHARMA,ITAGUAI (ICN),ONS,JOTUN IND. TINTAS,ROCK CITY S.A.,CNOOC,,NISSAN,NISSAN,HAZTEC (ORIZON),SOTREQ,HAZTEC (ORIZON),NISSAN,HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),F,F,SHELL/BG,SHELL/BG,SHELL/BG,HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),SOTREQ,GRUPO SOMA,SHELL/BG,NISSAN,NISSAN,HAZTEC (ORIZON),NISSAN,NISSAN,HAZTEC (ORIZON),HAZTEC (ORIZON),COMMIT (GASPETRO),COMMIT (GASPETRO),F,F,COMMIT (GASPETRO)
17,SILIMED,GGSH,HAZTEC (ORIZON),COMMIT (GASPETRO),CLUBE DE REGATAS DO FLAMENGO,,ONS,,CREB,,FUNBIO,,,NISSAN,NISSAN,HAZTEC (ORIZON),GLOBENET (VTAL),HAZTEC (ORIZON),NISSAN,HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),F,F,GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),GLOBENET (VTAL),TOTAL,GRUPO SOMA,NISSAN,NISSAN,HAZTEC (ORIZON),NISSAN,NISSAN,HAZTEC (ORIZON),HAZTEC (ORIZON),BR MALLS,BR MALLS,F,F,BR MALLS
18,PORTO SUDESTE,EQUINOR,NISSAN,BR MALLS,SAPURA,,ALL NATIONS,,SISTAC,,DISTRIBUIDORA RECORD,,,SHELL/BG,SOTREQ,NISSAN,GRUPO SOMA,NISSAN,SOTREQ,NISSAN,NISSAN,NISSAN,NISSAN,F,F,COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),NISSAN,NISSAN,NISSAN,NISSAN,NISSAN,NISSAN,NISSAN,NISSAN,GRUPO SOMA,BR MALLS,TOTAL,SHELL/BG,SHELL/BG,NISSAN,SHELL/BG,SHELL/BG,NISSAN,NISSAN,ALIANSCE,ALIANSCE,F,F,ALIANSCE
19,PETRONAS,EVOLTZ,NISSAN,ALIANSCE,KATRIUM,,CAMORIM,,DESCOMPLICA,,CORPSERVICES,,,GRUPO SOMA,SHELL/BG,NISSAN,TOTAL,NISSAN,SHELL/BG,NISSAN,NISSAN,NISSAN,NISSAN,F,F,TOTAL,TOTAL,TOTAL,NISSAN,NISSAN,NISSAN,NISSAN,NISSAN,NISSAN,NISSAN,NISSAN,TOTAL,ALIANSCE,GGSH,GLOBENET (VTAL),GLOBENET (VTAL),NISSAN,GRUPO SOMA,GRUPO SOMA,NISSAN,NISSAN,V2i,V2i,F,F,V2i
