,2023-07-15,2023-07-22,2023-07-29,2023-08-05,2023-08-12,2023-08-19,2023-08-26,2023-09-02,2023-09-09,2023-09-16,2023-09-23,2023-09-30,2023-10-07,2023-10-14,2023-10-21,2023-10-28,2023-11-04,2023-11-11,2023-11-18,2023-11-25,2023-12-02,2023-12-09,2023-12-16,2023-12-23,2023-12-30,2024-01-06,2024-01-13,2024-01-20,2024-01-27,2024-02-03,2024-02-10,2024-02-17,2024-02-24,2024-03-02,2024-03-09,2024-03-16,2024-03-23,2024-03-30,2024-04-06,2024-04-13,2024-04-20,2024-04-27,2024-05-04,2024-05-11,2024-05-18,2024-05-25,2024-06-01,2024-06-08,2024-06-15,2024-06-22,2024-06-29
22,GGSH,SHELL/BG,ÁGUAS DO BRASIL,NISSAN,ALIANSCE,,,,,,,,,HAZTEC (ORIZON),HAZTEC (ORIZON),ÁGUAS DO BRASIL,HAZTEC (ORIZON),ÁGUAS DO BRASIL,HAZTEC (ORIZON),ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,F,F,NISSAN,NISSAN,NISSAN,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,HAZTEC (ORIZON),GLOBENET (VTAL),NISSAN,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,HAZTEC (ORIZON),HAZTEC (ORIZON),ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,SOTREQ,SOTREQ,F,F,SOTREQ
23,EQUINOR,GRUPO SOMA,ÁGUAS DO BRASIL,NISSAN,V2i,,,,,,,,,HAZTEC (ORIZON),HAZTEC (ORIZON),ÁGUAS DO BRASIL,HAZTEC (ORIZON),ÁGUAS DO BRASIL,HAZTEC (ORIZON),ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,F,F,NISSAN,NISSAN,NISSAN,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,HAZTEC (ORIZON),GLOBENET (VTAL),NISSAN,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,HAZTEC (ORIZON),HAZTEC (ORIZON),ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,GLOBENET (VTAL),GLOBENET (VTAL),F,F,GLOBENET (VTAL)
24,EQUINOR,GRUPO SOMA,HAZTEC (ORIZON),GLOBENET (VTAL),V2i,,,,,,,,,NISSAN,NISSAN,HAZTEC (ORIZON),SOTREQ,HAZTEC (ORIZON),NISSAN,HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),F,F,SHELL/BG,SHELL/BG,SHELL/BG,HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),SOTREQ,GRUPO SOMA,SHELL/BG,NISSAN,NISSAN,HAZTEC (ORIZON),NISSAN,NISSAN,HAZTEC (ORIZON),HAZTEC (ORIZON),GLOBENET (VTAL),GLOBENET (VTAL),F,F,GLOBENET (VTAL)
25,EVOLTZ,TOTAL,HAZTEC (ORIZON),GLOBENET (VTAL),PROFARMA,,,,,,,,,NISSAN,NISSAN,HAZTEC (ORIZON),SOTREQ,HAZTEC (ORIZON),NISSAN,HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),F,F,SHELL/BG,SHELL/BG,SHELL/BG,HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),SOTREQ,GRUPO SOMA,SHELL/BG,NISSAN,NISSAN,HAZTEC (ORIZON),NISSAN,NISSAN,HAZTEC (ORIZON),HAZTEC (ORIZON),COMMIT (GASPETRO),COMMIT (GASPETRO),F,F,COMMIT (GASPETRO)
26,TECHNOS,TOTAL,HAZTEC (ORIZON),COMMIT (GASPETRO),D1000,,,,,,,,,NISSAN,NISSAN,HAZTEC (ORIZON),GLOBENET (VTAL),HAZTEC (ORIZON),NISSAN,HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),F,F,GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),GLOBENET (VTAL),TOTAL,GRUPO SOMA,NISSAN,NISSAN,HAZTEC (ORIZON),NISSAN,NISSAN,HAZTEC (ORIZON),HAZTEC (ORIZON),COMMIT (GASPETRO),COMMIT (GASPETRO),F,F,COMMIT (GASPETRO)
27,SILIMED,GGSH,NISSAN,COMMIT (GASPETRO),CLUBE DE REGATAS DO FLAMENGO,,,,,,,,,SHELL/BG,SOTREQ,NISSAN,GLOBENET (VTAL),NISSAN,SOTREQ,NISSAN,NISSAN,NISSAN,NISSAN,F,F,GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),NISSAN,NISSAN,NISSAN,NISSAN,NISSAN,NISSAN,NISSAN,NISSAN,GLOBENET (VTAL),TOTAL,GRUPO SOMA,SHELL/BG,SHELL/BG,NISSAN,SHELL/BG,SHELL/BG,NISSAN,NISSAN,BR MALLS,BR MALLS,F,F,BR MALLS
28,PORTO SUDESTE,GGSH,NISSAN,BR MALLS,SAPURA,,,,,,,,,SHELL/BG,SOTREQ,NISSAN,GRUPO SOMA,NISSAN,SOTREQ,NISSAN,NISSAN,NISSAN,NISSAN,F,F,COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),NISSAN,NISSAN,NISSAN,NISSAN,NISSAN,NISSAN,NISSAN,NISSAN,GRUPO SOMA,BR MALLS,TOTAL,SHELL/BG,SHELL/BG,NISSAN,SHELL/BG,SHELL/BG,NISSAN,NISSAN,BR MALLS,BR MALLS,F,F,BR MALLS
29,PETRONAS,EQUINOR,NISSAN,BR MALLS,KATRIUM,,,,,,,,,GRUPO SOMA,SHELL/BG,NISSAN,GRUPO SOMA,NISSAN,SHELL/BG,NISSAN,NISSAN,NISSAN,NISSAN,F,F,COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),NISSAN,NISSAN,NISSAN,NISSAN,NISSAN,NISSAN,NISSAN,NISSAN,GRUPO SOMA,BR MALLS,TOTAL,GLOBENET (VTAL),GLOBENET (VTAL),NISSAN,GRUPO SOMA,GRUPO SOMA,NISSAN,NISSAN,ALIANSCE,ALIANSCE,F,F,ALIANSCE
30,Matrincha Transm. de Energia (MTE),EQUINOR,SHELL/BG,ALIANSCE,ENERFLEX,,,,,,,,,GRUPO SOMA,SHELL/BG,SOTREQ,TOTAL,SOTREQ,SHELL/BG,SOTREQ,SHELL/BG,SHELL/BG,SHELL/BG,F,F,TOTAL,TOTAL,TOTAL,SHELL/BG,SOTREQ,SOTREQ,SOTREQ,SOTREQ,SOTREQ,SOTREQ,SOTREQ,TOTAL,ALIANSCE,GGSH,GLOBENET (VTAL),GLOBENET (VTAL),SHELL/BG,GRUPO SOMA,GRUPO SOMA,SOTREQ,SOTREQ,ALIANSCE,ALIANSCE,F,F,ALIANSCE
31,,EVOLTZ,SHELL/BG,ALIANSCE,SUPERMERCADO ZONA SUL,,,,,,,,,COMMIT (GASPETRO),GRUPO SOMA,SOTREQ,TOTAL,SOTREQ,GRUPO SOMA,SOTREQ,SHELL/BG,SHELL/BG,SHELL/BG,F,F,TOTAL,TOTAL,TOTAL,SHELL/BG,SOTREQ,SOTREQ,SOTREQ,SOTREQ,SOTREQ,SOTREQ,SOTREQ,TOTAL,ALIANSCE,GGSH,GRUPO SOMA,GRUPO SOMA,SHELL/BG,COMMIT (GASPETRO),COMMIT (GASPETRO),SOTREQ,SOTREQ,V2i,V2i,F,F,V2i
