,2023-07-15,2023-07-22,2023-07-29,2023-08-05,2023-08-12,2023-08-19,2023-08-26,2023-09-02,2023-09-09,2023-09-16,2023-09-23,2023-09-30,2023-10-07,2023-10-14,2023-10-21,2023-10-28,2023-11-04,2023-11-11,2023-11-18,2023-11-25,2023-12-02,2023-12-09,2023-12-16,2023-12-23,2023-12-30,2024-01-06,2024-01-13,2024-01-20,2024-01-27,2024-02-03,2024-02-10,2024-02-17,2024-02-24,2024-03-02,2024-03-09,2024-03-16,2024-03-23,2024-03-30,2024-04-06,2024-04-13,2024-04-20,2024-04-27,2024-05-04,2024-05-11,2024-05-18,2024-05-25,2024-06-01,2024-06-08,2024-06-15,2024-06-22,2024-06-29
31,,,,,,,,,,,,,,,EVER BRASIL ,NAVAL GROUP,Geogas,KOMPASS ENERGIA,KOMPASS ENERGIA,,Planeta / DeAgostini,TI LATAM AUP,ALLSEAS,F,F,COCA COLA INSTITUTO,GALP,GLOBO - FRM/C.FUTURA,GEOPARK,GALP,BOLT Energia,GEOPARK,ARCHER,CHANNEL (EUROPRESTIGIO),STEAG,TULIP CAMPOS HOTELARIA,Fundação Euclides da Cunha,Fundação Euclides da Cunha,,,,,,,,,,,F,F,
32,,,,,,,,,,,,,,,ARCHER,,,ARAGUAIA/DESIDERATA,PETRO CHINA,,,,,F,F,,GEOPARK,ESSECO DO BRASIL,H. STTRATNER,GEOPARK,FCC,SONANGOL STARFISH,GREEN OIL,SONANGOL STARFISH,FUNDO PATRIMONIAL RJZ,KOMPASS ENERGIA,INSTITUTO DA CRIANÇA,INSTITUTO DA CRIANÇA,,,,,,,,,,,F,F,
33,,,,,,,,,,,,,,,GREEN OIL,,,,Fundação Euclides da Cunha,,,,,F,F,,ITAGUAI (ICN),HI MIDIA,ITAGUAI (ICN),H. STTRATNER,TELEPAZIO BRASIL (Leonardo),JOTUN IND. TINTAS,VITOL,CNOOC,NAVAL GROUP,OMPI DO BRASIL ,Geogas,Geogas,,,,,,,,,,,F,F,
34,,,,,,,,,,,,,,,VITOL,,,,INSTITUTO DA CRIANÇA,,,,,F,F,,JOTUN IND. TINTAS,MARLIN AZUL,JOTUN IND. TINTAS,ITAGUAI (ICN),GALP,CNOOC,,NEW WAVE,,PETRO CHINA,,,,,,,,,,,,,F,F,
35,,,,,,,,,,,,,,,,,,,CALEFFI BRASIL AUP,,,,,F,F,,GRUPO COMPONENTES (Opportunity) - Eletron,FAZENDA FUTURO,COMSHELL SOC PREV. PRIVADA,JOTUN IND. TINTAS,GEOPARK,NEW WAVE,,GLOBO - ED. GLOBO COND NAST,,STEAG,,,,,,,,,,,,,F,F,
36,,,,,,,,,,,,,,,,,,,,,,,,F,F,,Guaraciaba Transmissora de Energia,,ECOPETROL,COMSHELL SOC PREV. PRIVADA,H. STTRATNER,GLOBO - ED. GLOBO COND NAST,,Orthopride (PRKS),,Fundação Euclides da Cunha,,,,,,,,,,,,,F,F,
37,,,,,,,,,,,,,,,,,,,,,,,,F,F,,GLOBO - FRM/C.FUTURA,,GRUPO COMPONENTES (Opportunity) - Eletron,ECOPETROL,ITAGUAI (ICN),Orthopride (PRKS),,TULIP CAMPOS HOTELARIA,,FUNDO PATRIMONIAL RJZ,,,,,,,,,,,,,F,F,
38,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,MANUCHAR,GRUPO COMPONENTES (Opportunity) - Eletron,JOTUN IND. TINTAS,EVER BRASIL ,,EVER BRASIL ,,INSTITUTO DA CRIANÇA,,,,,,,,,,,,,F,F,
39,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,OCEANEERING,MANUCHAR,COMSHELL SOC PREV. PRIVADA,ARCHER,,OMPI DO BRASIL ,,NAVAL GROUP,,,,,,,,,,,,,F,F,
40,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,FERNANDES ARAÚJO,OCEANEERING,ECOPETROL,GREEN OIL,,ARCHER,,Geogas,,,,,,,,,,,,,F,F,
41,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,Guaraciaba Transmissora de Energia,FERNANDES ARAÚJO,GRUPO COMPONENTES (Opportunity) - Eletron,VITOL,,STEAG,,,,,,,,,,,,,,,F,F,
42,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,GME AEROSPACE,Guaraciaba Transmissora de Energia,MANUCHAR,,,GREEN OIL,,,,,,,,,,,,,,,F,F,
43,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,GEFCO,GME AEROSPACE,OCEANEERING,,,FUNDO PATRIMONIAL RJZ,,,,,,,,,,,,,,,F,F,
44,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,DINACO,GEFCO,FERNANDES ARAÚJO,,,VITOL,,,,,,,,,,,,,,,F,F,
45,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,GLOBO - FRM/C.FUTURA,DINACO,Guaraciaba Transmissora de Energia,,,NAVAL GROUP,,,,,,,,,,,,,,,F,F,
46,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,AXXON (RHMED),GLOBO - FRM/C.FUTURA,GME AEROSPACE,,,,,,,,,,,,,,,,,,F,F,
47,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,QV SAUDE,AXXON (RHMED),GEFCO,,,,,,,,,,,,,,,,,,F,F,
48,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,ESSECO DO BRASIL,QV SAUDE,DINACO,,,,,,,,,,,,,,,,,,F,F,
49,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,SuaTV e Influency.me,ESSECO DO BRASIL,GLOBO - FRM/C.FUTURA,,,,,,,,,,,,,,,,,,F,F,
50,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,"CLARKE, MODET Y CIA. S.L. BRASIL",SuaTV e Influency.me,AXXON (RHMED),,,,,,,,,,,,,,,,,,F,F,
51,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,HI MIDIA,"CLARKE, MODET Y CIA. S.L. BRASIL",QV SAUDE,,,,,,,,,,,,,,,,,,F,F,
52,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,UFI Filter,HI MIDIA,ESSECO DO BRASIL,,,,,,,,,,,,,,,,,,F,F,
53,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,QUANTUM,UFI Filter,SuaTV e Influency.me,,,,,,,,,,,,,,,,,,F,F,
54,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,MARLIN AZUL,QUANTUM,"CLARKE, MODET Y CIA. S.L. BRASIL",,,,,,,,,,,,,,,,,,F,F,
55,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,CONFIANCE MEDICAL,MARLIN AZUL,HI MIDIA,,,,,,,,,,,,,,,,,,F,F,
56,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,GLOBO - AERO RIO,CONFIANCE MEDICAL,UFI Filter,,,,,,,,,,,,,,,,,,F,F,
57,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,FAZENDA FUTURO,GLOBO - AERO RIO,QUANTUM,,,,,,,,,,,,,,,,,,F,F,
58,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,ARAGUAIA/DESIDERATA,FAZENDA FUTURO,MARLIN AZUL,,,,,,,,,,,,,,,,,,F,F,
59,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,CALEFFI BRASIL AUP,ARAGUAIA/DESIDERATA,CONFIANCE MEDICAL,,,,,,,,,,,,,,,,,,F,F,
60,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,Planeta / DeAgostini,CALEFFI BRASIL AUP,GLOBO - AERO RIO,,,,,,,,,,,,,,,,,,F,F,
61,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,TI LATAM AUP,Planeta / DeAgostini,FAZENDA FUTURO,,,,,,,,,,,,,,,,,,F,F,
62,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,ALLSEAS,TI LATAM AUP,ARAGUAIA/DESIDERATA,,,,,,,,,,,,,,,,,,F,F,
63,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,COCA COLA INSTITUTO,ALLSEAS,CALEFFI BRASIL AUP,,,,,,,,,,,,,,,,,,F,F,
64,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,COCA COLA INSTITUTO,Planeta / DeAgostini,,,,,,,,,,,,,,,,,,F,F,
65,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,TI LATAM AUP,,,,,,,,,,,,,,,,,,F,F,
66,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,ALLSEAS,,,,,,,,,,,,,,,,,,F,F,
67,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,COCA COLA INSTITUTO,,,,,,,,,,,,,,,,,,F,F,
68,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
69,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
70,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
71,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
72,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
73,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
74,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
75,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
76,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
77,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
78,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
79,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
80,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
81,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
82,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
83,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
84,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
85,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
86,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
87,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
88,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
89,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
90,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
91,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
92,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
93,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
94,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
95,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
96,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
97,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
98,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
99,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
100,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
101,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
102,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
103,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
104,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
105,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
106,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
107,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
108,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
109,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
110,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
111,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
112,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,
