,2023-07-15,2023-07-22,2023-07-29,2023-08-05,2023-08-12,2023-08-19,2023-08-26,2023-09-02,2023-09-09,2023-09-16,2023-09-23,2023-09-30,2023-10-07,2023-10-14,2023-10-21,2023-10-28,2023-11-04,2023-11-11,2023-11-18,2023-11-25,2023-12-02,2023-12-09,2023-12-16,2023-12-23,2023-12-30,2024-01-06,2024-01-13,2024-01-20,2024-01-27,2024-02-03,2024-02-10,2024-02-17,2024-02-24,2024-03-02,2024-03-09,2024-03-16,2024-03-23,2024-03-30,2024-04-06,2024-04-13,2024-04-20,2024-04-27,2024-05-04,2024-05-11,2024-05-18,2024-05-25,2024-06-01,2024-06-08,2024-06-15,2024-06-22,2024-06-29
10,PORTO SUDESTE,PORTO SUDESTE,,SAPURA,CLUBE DE REGATAS DO FLAMENGO,Orthopride (PRKS),,TULIP CAMPOS HOTELARIA,,KOMPASS ENERGIA,,,,V2i,EQUINOR,BR MALLS,PEUGEOT CITROEN (BH),ALIANSCE,EQUINOR,GGSH,GGSH,GGSH,ALIANSCE,F,F,PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),V2i,GGSH,GGSH,TOTAL,TOTAL,TOTAL,TOTAL,ALIANSCE,PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),CATARATAS DO IGUAÇU,EQUINOR,EQUINOR,GGSH,EQUINOR,EQUINOR,OLX (Bom Negócio),BR MALLS,PROFARMA,PROFARMA,F,F,CYMI 
11,,,,,SAPURA,,,,,,,,,EVOLTZ,V2i,EQUINOR,EVOLTZ,EQUINOR,V2i,EQUINOR,EQUINOR,ALIANSCE,V2i,F,F,COCA COLA,COCA COLA,COCA COLA,PETROMAIS (Origem Energia),V2i,V2i,BR MALLS,BR MALLS,BR MALLS,BR MALLS,EQUINOR,EVOLTZ,EVOLTZ,TECHNOS,V2i,V2i,EQUINOR,EVOLTZ,EVOLTZ,GLOBO - EDITORA GLOBO S.A.,ALIANSCE,CYMI ,CYMI ,F,F,D1000
12,,,,,KATRIUM,,,,,,,,,PROFARMA,PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PROFARMA,PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),V2i,V2i,V2i,PETROMAIS (Origem Energia),F,F,CATARATAS DO IGUAÇU,CATARATAS DO IGUAÇU,CATARATAS DO IGUAÇU,COCA COLA,PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),GGSH,GGSH,ALIANSCE,ALIANSCE,PEUGEOT CITROEN (BH),PROFARMA,PROFARMA,SILIMED,PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PROFARMA,PROFARMA,WSUT (Magalhanes Navegação),V2i,D1000,D1000,F,F,INSPIRA MUNDANÇA PART.
13,,,,,ENERFLEX,,,,,,,,,TECHNOS,EVOLTZ,EVOLTZ,OLX (Bom Negócio),EVOLTZ,PETROMAIS (Origem Energia),PEUGEOT CITROEN (BH),PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),COCA COLA,F,F,CYMI ,CYMI ,CYMI ,CATARATAS DO IGUAÇU,COCA COLA,COCA COLA,ALIANSCE,ALIANSCE,EQUINOR,EQUINOR,EVOLTZ,OLX (Bom Negócio),OLX (Bom Negócio),CASA GRANADO,EVOLTZ,EVOLTZ,TECHNOS,TECHNOS,OLX (Bom Negócio),MRO,PETROMAIS (Origem Energia),INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,F,F,
14,,,,,,,,,,,,,,D1000,PROFARMA,PROFARMA,TECHNOS,PROFARMA,EVOLTZ,PETROMAIS (Origem Energia),GLOBO - EDITORA GLOBO S.A.,COCA COLA,CATARATAS DO IGUAÇU,F,F,D1000,GLOBO - EDITORA GLOBO S.A.,GLOBO - EDITORA GLOBO S.A.,CYMI ,CATARATAS DO IGUAÇU,CATARATAS DO IGUAÇU,EQUINOR,EQUINOR,PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PROFARMA,TECHNOS,TECHNOS,,CATARATAS DO IGUAÇU,CATARATAS DO IGUAÇU,D1000,D1000,GLOBO - EDITORA GLOBO S.A.,,COCA COLA,,,F,F,
15,,,,,,,,,,,,,,SILIMED,OLX (Bom Negócio),OLX (Bom Negócio),SILIMED,OLX (Bom Negócio),PROFARMA,GLOBO - EDITORA GLOBO S.A.,CLUBE DE REGATAS DO FLAMENGO,CATARATAS DO IGUAÇU,CYMI ,F,F,PORTO SUDESTE,D1000,D1000,GLOBO - EDITORA GLOBO S.A.,CYMI ,CYMI ,V2i,V2i,EVOLTZ,EVOLTZ,OLX (Bom Negócio),D1000,D1000,,TECHNOS,TECHNOS,SILIMED,SILIMED,PORTO SUDESTE,,OLX (Bom Negócio),,,F,F,
16,,,,,,,,,,,,,,PORTO SUDESTE,TECHNOS,TECHNOS,ALMAVIVA,TECHNOS,TECHNOS,CLUBE DE REGATAS DO FLAMENGO,WSUT (Magalhanes Navegação),CYMI ,GLOBO - EDITORA GLOBO S.A.,F,F,INSPIRA MUNDANÇA PART.,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,GLOBO - EDITORA GLOBO S.A.,GLOBO - EDITORA GLOBO S.A.,PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PROFARMA,PROFARMA,TECHNOS,SILIMED,SILIMED,,SILIMED,SILIMED,SAPURA,PORTO SUDESTE,WSUT (Magalhanes Navegação),,GLOBO - EDITORA GLOBO S.A.,,,F,F,
17,,,,,,,,,,,,,,SAPURA,D1000,SILIMED,CASA GRANADO,SILIMED,SILIMED,WSUT (Magalhanes Navegação),MRO,GLOBO - EDITORA GLOBO S.A.,D1000,F,F,SAPURA,PORTO SUDESTE,PORTO SUDESTE,ALMAVIVA,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),OLX (Bom Negócio),OLX (Bom Negócio),D1000,PORTO SUDESTE,PORTO SUDESTE,,CASA GRANADO,CASA GRANADO,,SAPURA,MRO,,WSUT (Magalhanes Navegação),,,F,F,
18,,,,,,,,,,,,,,,SILIMED,ALMAVIVA,KATRIUM,ALMAVIVA,CLUBE DE REGATAS DO FLAMENGO,MRO,DELLY COSMETICOS,CLUBE DE REGATAS DO FLAMENGO,PORTO SUDESTE,F,F,NATIONAL OIL,ALMAVIVA,ALMAVIVA,INSPIRA MUNDANÇA PART.,ALMAVIVA,ALMAVIVA,COCA COLA,INSPIRA MUNDANÇA PART.,TECHNOS,TECHNOS,SILIMED,WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),,,,,,,,MRO,,,F,F,
19,,,,,,,,,,,,,,,PORTO SUDESTE,CASA GRANADO,OCEÂNICA ENGENHARIA,CASA GRANADO,ALMAVIVA,DELLY COSMETICOS,ENERFLEX,WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),F,F,FAZENDA AGRO SB (Opportunity),INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,MRO,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,CATARATAS DO IGUAÇU,SAPURA,D1000,D1000,PORTO SUDESTE,CASA GRANADO,CASA GRANADO,,,,,,,,,,,F,F,
