empresa;prioridade;grupo;possui trimestral;deadline;horas;senior;staff 3;staff 2;trainee;fase_planejamento;fase_interim;fase_final;fase_trimestral
FUNBIO;76;8;No;Mar;1050;1;0;1;1;2;3;3;1
MINERACAO MORRO DO IPE (MMI);77;8;No;Mar;740;1;0;1;1;2;3;3;1
CAMORIM;78;8;No;Abr;980;1;0;1;1;2;3;3;1
SISTAC;79;8;No;Fev / Mar;980;1;0;1;1;2;3;3;1
DISTRIBUIDORA RECORD;80;8;No;Mar;1050;1;0;1;1;2;3;3;1
MR. CAT (Grumari);81;8;No;Fev;1050;1;0;1;1;2;3;3;1
Matrincha Transm. de Energia (MTE);82;8;Yes;Fev;1050;1;0;1;1;2;3;3;1
DESCOMPLICA;83;8;Yes;Mar;975;1;0;1;1;2;3;3;1
CORPSERVICES;84;8;No;Mai;800;1;0;1;1;2;3;3;1
GLOBO - RADIOS;85;8;No;Mar;820;1;0;1;1;2;3;3;1
CERAS JOHNSON;86;8;No;Mai / Jul;648;1;0;1;1;2;3;3;1
GLOBO - CAFÉ ORFEU;87;8;No;Jun;790;1;0;1;1;2;3;3;1
Reichhold do Brasil (Polyint Group);88;9;No;Mar;670;0;1;0;1;1;3;3;0
SERTANEJA;89;9;No;Mar;1200;0;1;0;1;1;3;3;0
TAG;90;9;No;Fev;900;0;1;0;1;1;3;3;0
MARINE PRODUCTION SYSTEM DO BRASIL LTDA. ;91;9;No;Fev;714;0;1;0;1;1;3;3;0
DIMENSIONAL (Benfour);92;9;No;Off peak;900;0;1;0;1;1;3;3;0
FUGRO;93;9;No;Fev;900;0;1;0;1;1;3;3;0
LABORATORIES SERVIER;94;9;No;Fev;640;0;1;0;1;1;3;3;0
FUNDOS BBI Fin Health - Investidas;95;9;No;Abr;844;0;1;0;1;1;3;3;0
AET STS;96;9;No;Jan / Mar;800;0;1;0;1;1;3;3;0
BOLT Energia;97;9;No;Abr;825;0;1;0;1;1;3;3;0
FCC;98;9;No;Mai;825;0;1;0;1;1;3;3;0
CHANNEL (EUROPRESTIGIO);99;9;No;Fev / Mar;650;0;1;0;1;1;3;3;0
AXXON (BR MARINAS);100;9;No;Fev;810;0;1;0;1;1;3;3;0
TELEPAZIO BRASIL (Leonardo);101;9;No;Mar;600;0;1;0;1;1;3;3;0
GALP;102;9;No;Apr;500;0;1;0;1;1;3;3;0
GEOPARK;103;9;No;Fev;600;0;1;0;1;1;3;3;0
SONANGOL STARFISH;104;9;No;Mai;950;0;1;0;1;1;3;3;0
GLOBO - FAMILY OFFICE;105;9;No;Jun;630;0;1;0;1;1;3;3;0
H. STTRATNER;106;9;No;Jun;683;0;1;0;1;1;3;3;0
ITAGUAI (ICN);107;9;No;Fev;675;0;1;0;1;1;3;3;0
JOTUN IND. TINTAS;108;9;No;Mar;750;0;1;0;1;1;3;3;0
CNOOC;109;9;No;Mar;653;0;1;0;1;1;3;3;0
BIOMERIEUX;110;10;No;Jan / Fev;600;0;1;2;0;1;2;3;0
COMSHELL SOC PREV. PRIVADA;111;10;No;Mar;600;0;1;2;0;1;2;3;0
ECOPETROL;112;10;No;Fev;600;0;1;2;0;1;2;3;0
GRUPO COMPONENTES (Opportunity) - Eletron;113;10;No;Fev;560;0;1;2;0;1;2;3;0
NEW WAVE;114;10;No;Fev / Abr / Mai;560;0;1;2;0;1;2;3;0
UNIVERSAL MUSICAL;115;10;No;Abr;600;0;1;2;0;1;2;3;0
MANUCHAR;116;10;No;Fev;600;0;1;2;0;1;2;3;0
OCEANEERING;117;10;No;Fev;476;0;1;2;0;1;2;3;0
FERNANDES ARAÚJO;118;10;No;Jun;600;0;1;2;0;1;2;3;0
Guaraciaba Transmissora de Energia;119;10;Yes;Fev;633;0;1;2;0;1;2;3;0
GLOBO - ED. GLOBO COND NAST;120;10;No;Mar;600;0;1;2;0;1;2;3;0
DILETTO (Sardinia Investimentos);121;10;No;Abr;600;0;1;2;0;1;2;3;0
GME AEROSPACE;122;10;No;Mar;560;0;1;2;0;1;2;3;0
GEFCO;123;10;No;Off peak;700;0;1;2;0;1;2;3;0
DINACO;124;10;No;Mar;560;0;1;2;0;1;2;3;0
GLOBO - FRM/C.FUTURA;125;10;No;Mar;510;0;1;2;0;1;2;3;0
Orthopride (PRKS);126;10;No;Mar;450;0;1;2;0;1;2;3;0
TULIP CAMPOS HOTELARIA;127;10;No;Mai;400;0;1;2;0;1;2;3;0
KOMPASS ENERGIA;128;10;No;Mar;480;0;1;2;0;1;2;3;0
AXXON (RHMED);129;10;No;Fev;520;0;1;2;0;1;2;3;0
QV SAUDE;130;11;No;Mai;400;0;1;1;1;0;1;3;0
ESSECO DO BRASIL;131;11;No;Abr;400;0;1;1;1;0;1;3;0
EVER BRASIL ;132;11;No;Abr;400;0;1;1;1;0;1;3;0
OMPI DO BRASIL ;133;11;No;Mar;400;0;1;1;1;0;1;3;0
PETRO CHINA;134;11;No;Mar;400;0;1;1;1;0;1;3;0
SuaTV e Influency.me;135;11;No;Abr;500;0;1;1;1;0;1;3;0
CLARKE, MODET Y CIA. S.L. BRASIL;136;11;No;Fev;400;0;1;1;1;0;1;3;0
HI MIDIA;137;11;No;Mar;400;0;1;1;1;0;1;3;0
ARCHER;138;11;No;Ago;450;0;1;1;1;0;1;3;0
STEAG;139;11;No;Mar;359;0;1;1;1;0;1;3;0
Fundação Euclides da Cunha;140;11;No;Abr;352;0;1;1;1;0;1;3;0
