,equipe,2023-07-15,2023-07-22,2023-07-29,2023-08-05,2023-08-12,2023-08-19,2023-08-26,2023-09-02,2023-09-09,2023-09-16,2023-09-23,2023-09-30,2023-10-07,2023-10-14,2023-10-21,2023-10-28,2023-11-04,2023-11-11,2023-11-18,2023-11-25,2023-12-02,2023-12-09,2023-12-16,2023-12-23,2023-12-30,2024-01-06,2024-01-13,2024-01-20,2024-01-27,2024-02-03,2024-02-10,2024-02-17,2024-02-24,2024-03-02,2024-03-09,2024-03-16,2024-03-23,2024-03-30,2024-04-06,2024-04-13,2024-04-20,2024-04-27,2024-05-04,2024-05-11,2024-05-18,2024-05-25,2024-06-01,2024-06-08,2024-06-15,2024-06-22,2024-06-29
66,trainee_66,,,,,,,,,,,FARSTAD SHIPPING,FARSTAD SHIPPING,FARSTAD SHIPPING,,FARSTAD SHIPPING,FARSTAD SHIPPING,FARSTAD SHIPPING,FARSTAD SHIPPING,,,,,,F,F,,,,,,,,,,FARSTAD SHIPPING,FARSTAD SHIPPING,FARSTAD SHIPPING,FARSTAD SHIPPING,,,,,,,,,,,F,F,
67,trainee_67,,,,,VINCI PARTNERS (FUNDOS),VINCI PARTNERS (FUNDOS),VINCI PARTNERS (FUNDOS),,,,,,,,,,,,VINCI PARTNERS (FUNDOS),VINCI PARTNERS (FUNDOS),VINCI PARTNERS (FUNDOS),VINCI PARTNERS (FUNDOS),,F,F,,,,VINCI PARTNERS (FUNDOS),VINCI PARTNERS (FUNDOS),VINCI PARTNERS (FUNDOS),VINCI PARTNERS (FUNDOS),,,,,,,,,,,,,,,,,F,F,
68,trainee_68,,,,,,,BEMISA (Opportunity),BEMISA (Opportunity),BEMISA (Opportunity),,,,,,,,,,,,,,BEMISA (Opportunity),F,F,BEMISA (Opportunity),BEMISA (Opportunity),BEMISA (Opportunity),,,BEMISA (Opportunity),BEMISA (Opportunity),BEMISA (Opportunity),BEMISA (Opportunity),,,,,,,,,,,,,,,F,F,
69,trainee_69,,,,,,,,,BUREAU VERITAS,BUREAU VERITAS,BUREAU VERITAS,,,,BUREAU VERITAS,BUREAU VERITAS,BUREAU VERITAS,BUREAU VERITAS,,,,,,F,F,,,,,,,,,,BUREAU VERITAS,BUREAU VERITAS,BUREAU VERITAS,BUREAU VERITAS,,,,,,,,,,,F,F,
70,trainee_70,,,,,,,,,,,BARCELOS,BARCELOS,BARCELOS,,,,,,BARCELOS,BARCELOS,BARCELOS,BARCELOS,,F,F,,,,BARCELOS,BARCELOS,BARCELOS,BARCELOS,,,,,,,,,,,,,,,,,F,F,
71,trainee_71,,,,,PUIG O'NIQUE,PUIG O'NIQUE,PUIG O'NIQUE,,,,,,,,,,,,,,,,PUIG O'NIQUE,F,F,PUIG O'NIQUE,PUIG O'NIQUE,PUIG O'NIQUE,,,,PUIG O'NIQUE,PUIG O'NIQUE,PUIG O'NIQUE,PUIG O'NIQUE,,,,,,,,,,,,,,F,F,
72,trainee_72,,,,,,,S2,S2,S2,,,,,,S2,S2,S2,S2,,,,,,F,F,,,,,,,,,,S2,S2,S2,S2,,,,,,,,,,,F,F,
73,trainee_73,,,,,,,,,CONEXA SAÚDE,CONEXA SAÚDE,CONEXA SAÚDE,,,,,,,,CONEXA SAÚDE,CONEXA SAÚDE,CONEXA SAÚDE,CONEXA SAÚDE,,F,F,,,,CONEXA SAÚDE,CONEXA SAÚDE,CONEXA SAÚDE,CONEXA SAÚDE,,,,,,,,,,,,,,,,,F,F,
74,trainee_74,,,,,,,,,,,MAN DIESEL & TURBO,MAN DIESEL & TURBO,MAN DIESEL & TURBO,,,,,,,,,,MAN DIESEL & TURBO,F,F,MAN DIESEL & TURBO,MAN DIESEL & TURBO,MAN DIESEL & TURBO,,,MAN DIESEL & TURBO,MAN DIESEL & TURBO,MAN DIESEL & TURBO,MAN DIESEL & TURBO,,,,,,,,,,,,,,,F,F,
75,trainee_75,,,,,AMOEDO,AMOEDO,AMOEDO,,,,,,,,AMOEDO,AMOEDO,AMOEDO,AMOEDO,,,,,,F,F,,,,,,,,,,AMOEDO,AMOEDO,AMOEDO,AMOEDO,,,,,,,,,,,F,F,
76,trainee_76,,,,,,,DGPAR (ALL CARE),DGPAR (ALL CARE),DGPAR (ALL CARE),,,,,,,,,,DGPAR (ALL CARE),DGPAR (ALL CARE),DGPAR (ALL CARE),DGPAR (ALL CARE),,F,F,,,,DGPAR (ALL CARE),DGPAR (ALL CARE),DGPAR (ALL CARE),DGPAR (ALL CARE),,,,,,,,,,,,,,,,,F,F,
77,trainee_77,,,,,,,,,Zeedog,Zeedog,Zeedog,,,,,,,,,,,,Zeedog,F,F,Zeedog,Zeedog,Zeedog,,,,Zeedog,Zeedog,Zeedog,Zeedog,,,,,,,,,,,,,,F,F,
78,trainee_78,,,,,,,,,,,SUBSEA 7,SUBSEA 7,SUBSEA 7,,SUBSEA 7,SUBSEA 7,SUBSEA 7,SUBSEA 7,,,,,,F,F,,,,,,,,,,SUBSEA 7,SUBSEA 7,SUBSEA 7,SUBSEA 7,,,,,,,,,,,F,F,
79,trainee_79,,,,,ASPEN PHARMA,ASPEN PHARMA,ASPEN PHARMA,,,,,,,,,,,,ASPEN PHARMA,ASPEN PHARMA,ASPEN PHARMA,ASPEN PHARMA,,F,F,,,,ASPEN PHARMA,ASPEN PHARMA,ASPEN PHARMA,ASPEN PHARMA,,,,,,,,,,,,,,,,,F,F,
80,trainee_80,,,,,,,ONS,ONS,ONS,,,,,,,,,,,,,,ONS,F,F,ONS,ONS,ONS,,,ONS,ONS,ONS,ONS,,,,,,,,,,,,,,,F,F,
81,trainee_81,,,,,,,,,,ROCK CITY S.A.,ROCK CITY S.A.,,,,,ROCK CITY S.A.,ROCK CITY S.A.,ROCK CITY S.A.,,,,,,F,F,,,,,,,,,,,ROCK CITY S.A.,ROCK CITY S.A.,ROCK CITY S.A.,,,,,,,,,,,F,F,
82,trainee_82,,,,,,,,,,,,VERDE AMBIENTAL,VERDE AMBIENTAL,,,,,,,VERDE AMBIENTAL,VERDE AMBIENTAL,VERDE AMBIENTAL,,F,F,,,,VERDE AMBIENTAL,VERDE AMBIENTAL,VERDE AMBIENTAL,,,,,,,,,,,,,,,,,,F,F,
83,trainee_83,,,,,,ALL NATIONS,ALL NATIONS,,,,,,,,,,,,,,,,ALL NATIONS,F,F,ALL NATIONS,ALL NATIONS,,,,,ALL NATIONS,ALL NATIONS,ALL NATIONS,,,,,,,,,,,,,,,F,F,
84,trainee_84,,,,,,,,CREB,CREB,,,,,,,CREB,CREB,CREB,,,,,,F,F,,,,,,,,,,,CREB,CREB,CREB,,,,,,,,,,,F,F,
85,trainee_85,,,,,,,,,,FUNBIO,FUNBIO,,,,,,,,,FUNBIO,FUNBIO,FUNBIO,,F,F,,,,FUNBIO,FUNBIO,FUNBIO,,,,,,,,,,,,,,,,,,F,F,
