client,priority,senior,staff3,staff2,trainee,trimestral,planejamento,final,interim,trimestral_1,trimestral_2
LABORATORIES SERVIER,9,0,1,0,1,No,1,3,3,0,0
FUNDOS BBI Fin Health - Investidas,9,0,1,0,1,No,1,3,3,0,0
AET STS,9,0,1,0,1,No,1,3,3,0,0
BOLT Energia,9,0,1,0,1,No,1,3,3,0,0
FCC,9,0,1,0,1,No,1,3,3,0,0
CHANNEL (EUROPRESTIGIO),9,0,1,0,1,No,1,3,3,0,0
AXXON (BR MARINAS),9,0,1,0,1,No,1,3,3,0,0
TELEPAZIO BRASIL (Leonardo),9,0,1,0,1,No,1,3,3,0,0
GALP,9,0,1,0,1,No,1,3,3,0,0
GEOPARK,9,0,1,0,1,No,1,3,3,0,0
SONANGOL STARFISH,9,0,1,0,1,No,1,3,3,0,0
GLOBO - FAMILY OFFICE,9,0,1,0,1,No,1,3,3,0,0
H. STTRATNER,9,0,1,0,1,No,1,3,3,0,0
ITAGUAI (ICN),9,0,1,0,1,No,1,3,3,0,0
JOTUN IND. TINTAS,9,0,1,0,1,No,1,3,3,0,0
CNOOC,9,0,1,0,1,No,1,3,3,0,0
BIOMERIEUX,10,0,1,2,0,No,1,3,2,0,0
COMSHELL SOC PREV. PRIVADA,10,0,1,2,0,No,1,3,2,0,0
ECOPETROL,10,0,1,2,0,No,1,3,2,0,0
GRUPO COMPONENTES (Opportunity) - Eletron,10,0,1,2,0,No,1,3,2,0,0
NEW WAVE,10,0,1,2,0,No,1,3,2,0,0
UNIVERSAL MUSICAL,10,0,1,2,0,No,1,3,2,0,0
MANUCHAR,10,0,1,2,0,No,1,3,2,0,0
OCEANEERING,10,0,1,2,0,No,1,3,2,0,0
FERNANDES ARAÚJO,10,0,1,2,0,No,1,3,2,0,0
Guaraciaba Transmissora de Energia,10,0,1,2,0,Yes,1,3,2,0,0
GLOBO - ED. GLOBO COND NAST,10,0,1,2,0,No,1,3,2,0,0
DILETTO (Sardinia Investimentos),10,0,1,2,0,No,1,3,2,0,0
GME AEROSPACE,10,0,1,2,0,No,1,3,2,0,0
GEFCO,10,0,1,2,0,No,1,3,2,0,0
DINACO,10,0,1,2,0,No,1,3,2,0,0
GLOBO - FRM/C.FUTURA,10,0,1,2,0,No,1,3,2,0,0
Orthopride (PRKS),10,0,1,2,0,No,1,3,2,0,0
TULIP CAMPOS HOTELARIA,10,0,1,2,0,No,1,3,2,0,0
KOMPASS ENERGIA,10,0,1,2,0,No,1,3,2,0,0
AXXON (RHMED),10,0,1,2,0,No,1,3,2,0,0
QV SAUDE,11,0,1,1,1,No,0,3,1,0,0
ESSECO DO BRASIL,11,0,1,1,1,No,0,3,1,0,0
EVER BRASIL ,11,0,1,1,1,No,0,3,1,0,0
OMPI DO BRASIL ,11,0,1,1,1,No,0,3,1,0,0
PETRO CHINA,11,0,1,1,1,No,0,3,1,0,0
SuaTV e Influency.me,11,0,1,1,1,No,0,3,1,0,0
"CLARKE, MODET Y CIA. S.L. BRASIL",11,0,1,1,1,No,0,3,1,0,0
HI MIDIA,11,0,1,1,1,No,0,3,1,0,0
ARCHER,11,0,1,1,1,No,0,3,1,0,0
STEAG,11,0,1,1,1,No,0,3,1,0,0
Fundação Euclides da Cunha,11,0,1,1,1,No,0,3,1,0,0
UFI Filter,11,0,1,1,1,No,0,3,1,0,0
QUANTUM,11,0,1,1,1,No,0,3,1,0,0
MARLIN AZUL,11,0,1,1,1,No,0,3,1,0,0
GREEN OIL,11,0,1,1,1,No,0,3,1,0,0
FUNDO PATRIMONIAL RJZ,11,0,1,1,1,No,0,3,1,0,0
INSTITUTO DA CRIANÇA,11,0,1,1,1,No,0,3,1,0,0
CONFIANCE MEDICAL,11,0,1,1,1,No,0,3,1,0,0
GLOBO - AERO RIO,11,0,1,1,1,No,0,3,1,0,0
FAZENDA FUTURO,11,0,1,1,1,No,0,3,1,0,0
VITOL,11,0,1,1,1,No,0,3,1,0,0
NAVAL GROUP,11,0,1,1,1,No,0,3,1,0,0
Geogas,11,0,1,1,1,No,0,3,1,0,0
ARAGUAIA/DESIDERATA,11,0,1,1,1,No,0,3,1,0,0
CALEFFI BRASIL AUP,11,0,1,1,1,No,0,3,1,0,0
Planeta / DeAgostini,11,0,1,1,1,No,0,3,1,0,0
TI LATAM AUP,11,0,1,1,1,No,0,3,1,0,0
ALLSEAS,11,0,1,1,1,No,0,3,1,0,0
COCA COLA INSTITUTO,11,0,1,1,1,No,0,3,1,0,0
