,2023-07-15,2023-07-22,2023-07-29,2023-08-05,2023-08-12,2023-08-19,2023-08-26,2023-09-02,2023-09-09,2023-09-16,2023-09-23,2023-09-30,2023-10-07,2023-10-14,2023-10-21,2023-10-28,2023-11-04,2023-11-11,2023-11-18,2023-11-25,2023-12-02,2023-12-09,2023-12-16,2023-12-23,2023-12-30,2024-01-06,2024-01-13,2024-01-20,2024-01-27,2024-02-03,2024-02-10,2024-02-17,2024-02-24,2024-03-02,2024-03-09,2024-03-16,2024-03-23,2024-03-30,2024-04-06,2024-04-13,2024-04-20,2024-04-27,2024-05-04,2024-05-11,2024-05-18,2024-05-25,2024-06-01,2024-06-08,2024-06-15,2024-06-22,2024-06-29
60,,,,,,,,,,,,,,ONS,DGPAR (ALL CARE),ASPEN PHARMA,ROCK CITY S.A.,ROCK CITY S.A.,AMOEDO,MAN DIESEL & TURBO,ONS,VERDE AMBIENTAL,S2,F,F,BARCELOS,VERDE AMBIENTAL,S2,DGPAR (ALL CARE),ROCK CITY S.A.,ALL NATIONS,ROCK CITY S.A.,ALL NATIONS,ROCK CITY S.A.,BARCELOS,VERDE AMBIENTAL,VERDE AMBIENTAL,MINERACAO MORRO DO IPE (MMI),,,,,,,,,,,F,F,
61,,,,,,,,,,,,,,VERDE AMBIENTAL,Zeedog,ROCK CITY S.A.,ALL NATIONS,ALL NATIONS,Zeedog,DGPAR (ALL CARE),VERDE AMBIENTAL,CREB,MAN DIESEL & TURBO,F,F,S2,CREB,CONEXA SAÚDE,Zeedog,ALL NATIONS,FUNBIO,ALL NATIONS,FUNBIO,ALL NATIONS,PUIG O'NIQUE,CREB,CREB,SISTAC,,,,,,,,,,,F,F,
62,,,,,,,,,,,,,,CREB,ASPEN PHARMA,ALL NATIONS,FUNBIO,FUNBIO,SUBSEA 7,SUBSEA 7,CREB,MINERACAO MORRO DO IPE (MMI),DGPAR (ALL CARE),F,F,MAN DIESEL & TURBO,MINERACAO MORRO DO IPE (MMI),MAN DIESEL & TURBO,ASPEN PHARMA,FUNBIO,CAMORIM,FUNBIO,CAMORIM,FUNBIO,S2,MINERACAO MORRO DO IPE (MMI),MINERACAO MORRO DO IPE (MMI),MR. CAT (Grumari),,,,,,,,,,,F,F,
63,,,,,,,,,,,,,,MINERACAO MORRO DO IPE (MMI),ONS,FUNBIO,CAMORIM,CAMORIM,ASPEN PHARMA,ONS,MINERACAO MORRO DO IPE (MMI),SISTAC,SUBSEA 7,F,F,DGPAR (ALL CARE),SISTAC,AMOEDO,ONS,CAMORIM,DISTRIBUIDORA RECORD,CAMORIM,DISTRIBUIDORA RECORD,CAMORIM,CONEXA SAÚDE,SISTAC,SISTAC,DESCOMPLICA,,,,,,,,,,,F,F,
64,,,,,,,,,,,,,,SISTAC,DISTRIBUIDORA RECORD,CAMORIM,DISTRIBUIDORA RECORD,DISTRIBUIDORA RECORD,ROCK CITY S.A.,MR. CAT (Grumari),SISTAC,MR. CAT (Grumari),ONS,F,F,SUBSEA 7,Matrincha Transm. de Energia (MTE),DGPAR (ALL CARE),ROCK CITY S.A.,DISTRIBUIDORA RECORD,Matrincha Transm. de Energia (MTE),DISTRIBUIDORA RECORD,Matrincha Transm. de Energia (MTE),DISTRIBUIDORA RECORD,MAN DIESEL & TURBO,MR. CAT (Grumari),MR. CAT (Grumari),GLOBO - RADIOS,,,,,,,,,,,F,F,
65,,,,,,,,,,,,,,MR. CAT (Grumari),Matrincha Transm. de Energia (MTE),DISTRIBUIDORA RECORD,DESCOMPLICA,MR. CAT (Grumari),ALL NATIONS,DESCOMPLICA,MR. CAT (Grumari),DESCOMPLICA,VERDE AMBIENTAL,F,F,ONS,CORPSERVICES,Zeedog,ALL NATIONS,Matrincha Transm. de Energia (MTE),CORPSERVICES,Matrincha Transm. de Energia (MTE),CORPSERVICES,Matrincha Transm. de Energia (MTE),AMOEDO,DESCOMPLICA,DESCOMPLICA,Reichhold do Brasil (Polyint Group),,,,,,,,,,,F,F,
66,,,,,,,,,,,,,,CORPSERVICES,GLOBO - RADIOS,GLOBO - RADIOS,GLOBO - RADIOS,DESCOMPLICA,FUNBIO,GLOBO - RADIOS,DESCOMPLICA,CERAS JOHNSON,CREB,F,F,VERDE AMBIENTAL,CERAS JOHNSON,SUBSEA 7,FUNBIO,CORPSERVICES,GLOBO - CAFÉ ORFEU,CORPSERVICES,CERAS JOHNSON,CORPSERVICES,DGPAR (ALL CARE),GLOBO - RADIOS,GLOBO - RADIOS,TAG,,,,,,,,,,,F,F,
67,,,,,,,,,,,,,,CERAS JOHNSON,GLOBO - CAFÉ ORFEU,GLOBO - CAFÉ ORFEU,GLOBO - CAFÉ ORFEU,GLOBO - RADIOS,CAMORIM,Reichhold do Brasil (Polyint Group),GLOBO - RADIOS,Reichhold do Brasil (Polyint Group),MINERACAO MORRO DO IPE (MMI),F,F,CREB,SERTANEJA,ASPEN PHARMA,CAMORIM,GLOBO - CAFÉ ORFEU,SERTANEJA,CERAS JOHNSON,GLOBO - CAFÉ ORFEU,CERAS JOHNSON,Zeedog,Reichhold do Brasil (Polyint Group),Reichhold do Brasil (Polyint Group),FUGRO,,,,,,,,,,,F,F,
68,,,,,,,,,,,,,,,TAG,TAG,TAG,GLOBO - CAFÉ ORFEU,MR. CAT (Grumari),TAG,CERAS JOHNSON,MARINE PRODUCTION SYSTEM DO BRASIL LTDA. ,SISTAC,F,F,MINERACAO MORRO DO IPE (MMI),MARINE PRODUCTION SYSTEM DO BRASIL LTDA. ,ONS,DISTRIBUIDORA RECORD,SERTANEJA,DIMENSIONAL (Benfour),GLOBO - CAFÉ ORFEU,SERTANEJA,GLOBO - CAFÉ ORFEU,SUBSEA 7,TAG,TAG,FUNDOS BBI Fin Health - Investidas,,,,,,,,,,,F,F,
69,,,,,,,,,,,,,,,DIMENSIONAL (Benfour),DIMENSIONAL (Benfour),DIMENSIONAL (Benfour),Reichhold do Brasil (Polyint Group),DESCOMPLICA,FUGRO,Reichhold do Brasil (Polyint Group),FUGRO,MR. CAT (Grumari),F,F,SISTAC,LABORATORIES SERVIER,VERDE AMBIENTAL,Matrincha Transm. de Energia (MTE),DIMENSIONAL (Benfour),LABORATORIES SERVIER,SERTANEJA,MARINE PRODUCTION SYSTEM DO BRASIL LTDA. ,SERTANEJA,ASPEN PHARMA,FUGRO,FUGRO,FCC,,,,,,,,,,,F,F,
