,equipe,2023-07-15,2023-07-22,2023-07-29,2023-08-05,2023-08-12,2023-08-19,2023-08-26,2023-09-02,2023-09-09,2023-09-16,2023-09-23,2023-09-30,2023-10-07,2023-10-14,2023-10-21,2023-10-28,2023-11-04,2023-11-11,2023-11-18,2023-11-25,2023-12-02,2023-12-09,2023-12-16,2023-12-23,2023-12-30,2024-01-06,2024-01-13,2024-01-20,2024-01-27,2024-02-03,2024-02-10,2024-02-17,2024-02-24,2024-03-02,2024-03-09,2024-03-16,2024-03-23,2024-03-30,2024-04-06,2024-04-13,2024-04-20,2024-04-27,2024-05-04,2024-05-11,2024-05-18,2024-05-25,2024-06-01,2024-06-08,2024-06-15,2024-06-22,2024-06-29
41,staff2_41,D1000,D1000,,,D1000,D1000,D1000,,,,,,,,D1000,D1000,D1000,D1000,D1000,D1000,D1000,D1000,D1000,F,F,D1000,,,,,,,,D1000,D1000,D1000,D1000,D1000,,D1000,D1000,,,,,,D1000,D1000,F,F,D1000
42,staff2_42,,,SILIMED,SILIMED,,,,,SILIMED,SILIMED,SILIMED,,,SILIMED,SILIMED,,,,,,,,,F,F,SILIMED,SILIMED,SILIMED,SILIMED,SILIMED,SILIMED,SILIMED,SILIMED,SILIMED,SILIMED,SILIMED,SILIMED,SILIMED,SILIMED,SILIMED,SILIMED,SILIMED,SILIMED,,,,,,F,F,
43,staff2_43,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,,,,,,,,,,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,F,F,CLUBE DE REGATAS DO FLAMENGO,,,,,,,,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,,,,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,,,F,F,
44,staff2_44,,,,PORTO SUDESTE,PORTO SUDESTE,PORTO SUDESTE,PORTO SUDESTE,PORTO SUDESTE,,,,,,,,,PORTO SUDESTE,PORTO SUDESTE,,,,,,F,F,PORTO SUDESTE,PORTO SUDESTE,PORTO SUDESTE,PORTO SUDESTE,PORTO SUDESTE,PORTO SUDESTE,PORTO SUDESTE,PORTO SUDESTE,PORTO SUDESTE,PORTO SUDESTE,PORTO SUDESTE,PORTO SUDESTE,PORTO SUDESTE,,,,,PORTO SUDESTE,PORTO SUDESTE,,,PORTO SUDESTE,PORTO SUDESTE,F,F,PORTO SUDESTE
45,staff2_45,ALMAVIVA,ALMAVIVA,,,,,,,ALMAVIVA,ALMAVIVA,ALMAVIVA,,,ALMAVIVA,ALMAVIVA,ALMAVIVA,ALMAVIVA,ALMAVIVA,ALMAVIVA,ALMAVIVA,ALMAVIVA,ALMAVIVA,ALMAVIVA,F,F,,,,,,,,,ALMAVIVA,ALMAVIVA,ALMAVIVA,ALMAVIVA,ALMAVIVA,ALMAVIVA,ALMAVIVA,ALMAVIVA,ALMAVIVA,ALMAVIVA,,,,,,F,F,
46,staff2_46,,,WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),,,,,,,,WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),,,,,,,,F,F,WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),,,,WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),,,F,F,
47,staff2_47,,,,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,,,,,,,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,F,F,INSPIRA MUNDANÇA PART.,,,,,,,,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,,,,,,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,F,F,INSPIRA MUNDANÇA PART.
48,staff2_48,CASA GRANADO,CASA GRANADO,,,,,,,CASA GRANADO,CASA GRANADO,CASA GRANADO,,,CASA GRANADO,CASA GRANADO,,,,,,,,,F,F,CASA GRANADO,CASA GRANADO,CASA GRANADO,CASA GRANADO,CASA GRANADO,CASA GRANADO,CASA GRANADO,CASA GRANADO,CASA GRANADO,CASA GRANADO,CASA GRANADO,CASA GRANADO,CASA GRANADO,CASA GRANADO,CASA GRANADO,CASA GRANADO,,CASA GRANADO,CASA GRANADO,,,,,F,F,
49,staff2_49,,MRO,MRO,,,,,,,,,MRO,MRO,MRO,MRO,MRO,MRO,MRO,MRO,MRO,MRO,MRO,MRO,F,F,MRO,,,,,,,,MRO,MRO,MRO,MRO,MRO,,,MRO,MRO,,MRO,MRO,MRO,,,F,F,
50,staff2_50,,,,SAPURA,SAPURA,SAPURA,SAPURA,SAPURA,,,,,,,,,SAPURA,SAPURA,,,,,,F,F,SAPURA,SAPURA,SAPURA,SAPURA,SAPURA,SAPURA,SAPURA,SAPURA,SAPURA,SAPURA,SAPURA,SAPURA,SAPURA,,SAPURA,SAPURA,,,,,,SAPURA,SAPURA,F,F,SAPURA
