priority,client,nome_retain,renocao_prevista,fy24_total_hours,horas_demanda,trimestral,senior,staff3,staff2,trainee,horas_locadas,01-07-2023,08-07-2023,15-07-2023,22-07-2023,29-07-2023,05-08-2023,12-08-2023,19-08-2023,26-08-2023,02-09-2023,09-09-2023,16-09-2023,23-09-2023,30-09-2023,07-10-2023,14-10-2023,21-10-2023,28-10-2023,04-11-2023,11-11-2023,18-11-2023,25-11-2023,02-12-2023,09-12-2023,16-12-2023,23-12-2023,30-12-2023,06-01-2024,13-01-2024,20-01-2024,27-01-2024,03-02-2024,10-02-2024,17-02-2024,24-02-2024,02-03-2024,09-03-2024,16-03-2024,23-03-2024,30-03-2024,06-04-2024,13-04-2024,20-04-2024,27-04-2024,04-05-2024,11-05-2024,18-05-2024,25-05-2024,01-06-2024,08-06-2024,15-06-2024,22-06-2024
9,GLOBO - FAMILY OFFICE,FAMILY OFFICE, Yes ,1000,630,No,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
9,H. STTRATNER,H STRATTNER, Yes ,910,683,No,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
9,ITAGUAI (ICN),ICN, Yes ,900,675,No,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
9,JOTUN IND. TINTAS,JOTUN, Yes ,900,750,No,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
9,CNOOC,CNOOC, Yes ,870,653,No,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
10,BIOMERIEUX,BIOMERIEUX, Yes ,800,600,No,0,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
10,COMSHELL SOC PREV. PRIVADA,COMSHELL, Yes ,800,600,No,0,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
10,ECOPETROL,ECOPETROL, Yes ,800,600,No,0,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
10,GRUPO COMPONENTES (Opportunity) - Eletron,OPPORTUNITY, Yes ,800,560,No,0,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
10,NEW WAVE,NEW WAVE, Yes ,800,560,No,0,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
10,UNIVERSAL MUSICAL,UNIVERSAL, Yes ,800,600,No,0,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
10,MANUCHAR,MANUCHAR, Yes ,800,600,No,0,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
10,OCEANEERING,MARINE, Yes ,800,476,No,0,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
10,FERNANDES ARAÚJO,FERNANDES ARAÚJO, Yes ,800,600,No,0,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
10,Guaraciaba Transmissora de Energia,MTE, Yes ,791,633,Yes,0,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
10,GLOBO - ED. GLOBO COND NAST,COND NAST, Yes ,750,600,No,0,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
10,DILETTO (Sardinia Investimentos),DILETTO (Sardinia Investimentos), Yes ,750,600,No,0,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
10,GME AEROSPACE,GME, Yes ,700,560,No,0,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
10,GEFCO,GEFCO, Yes ,700,700,No,0,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
10,DINACO,DINACO, Yes ,700,560,No,0,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
10,GLOBO - FRM/C.FUTURA,FRM, Yes ,680,510,No,0,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
10,Orthopride (PRKS),PRKS, Yes ,638,450,No,0,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
10,TULIP CAMPOS HOTELARIA,TULIP, Yes ,620,400,No,0,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
10,KOMPASS ENERGIA,KOMPASS, Yes ,600,480,No,0,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
10,AXXON (RHMED),RHMED, Yes ,600,520,No,0,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
11,QV SAUDE,QV SAUDE, Yes ,500,400,No,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
11,ESSECO DO BRASIL,ESSECO,Yes,500,400,No,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
11,EVER BRASIL ,EVER, Yes ,500,400,No,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
11,OMPI DO BRASIL ,OMPI, Yes ,500,400,No,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
11,PETRO CHINA,PETRO CHINA, Yes ,500,400,No,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
11,SuaTV e Influency.me,SUA TV, Yes ,500,500,No,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
11,"CLARKE, MODET Y CIA. S.L. BRASIL",CLARK MODET, Yes ,500,400,No,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
11,HI MIDIA,HI MIDIA, Yes ,500,400,No,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
11,ARCHER,ARCHER, Yes ,450,450,No,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
11,STEAG,STEAG, Yes ,449,359,No,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
11,Fundação Euclides da Cunha,FEC, Yes ,440,352,No,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
11,UFI Filter,UFI,Yes,400,280,No,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
11,QUANTUM,QUANTUM, Yes ,400,400,No,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
11,MARLIN AZUL,MARLIN, Yes ,400,320,No,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
11,GREEN OIL,GREEN OIL, Yes ,400,320,No,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
11,FUNDO PATRIMONIAL RJZ,FUNDO PATRIMONIAL RJZ, Yes ,350,280,No,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
11,INSTITUTO DA CRIANÇA,INST CRIANCA, Yes ,350,280,No,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
11,CONFIANCE MEDICAL,CONFIANCE, Yes ,350,280,No,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
11,GLOBO - AERO RIO,AERO RIO, Yes ,330,264,No,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
11,FAZENDA FUTURO,FUTURE FARM, Yes ,316,253,No,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
11,VITOL,VITOL, Yes ,310,248,No,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
11,NAVAL GROUP,NAVAL, Yes ,300,240,No,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
11,Geogas,GEOGAS, Yes ,300,270,No,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
11,ARAGUAIA/DESIDERATA,ARAGUAIA/DESIDERATA, Yes ,280,224,No,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
11,CALEFFI BRASIL AUP,CALEFFI,Yes,250,200,No,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
11,Planeta / DeAgostini,DE AGOSTINI,Yes,250,200,No,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
11,TI LATAM AUP,TIM,Yes,250,200,No,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
11,ALLSEAS,Allseas, Yes ,200,160,No,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
11,COCA COLA INSTITUTO,COCA, Yes ,180,50,No,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
