,2023-07-15,2023-07-22,2023-07-29,2023-08-05,2023-08-12,2023-08-19,2023-08-26,2023-09-02,2023-09-09,2023-09-16,2023-09-23,2023-09-30,2023-10-07,2023-10-14,2023-10-21,2023-10-28,2023-11-04,2023-11-11,2023-11-18,2023-11-25,2023-12-02,2023-12-09,2023-12-16,2023-12-23,2023-12-30,2024-01-06,2024-01-13,2024-01-20,2024-01-27,2024-02-03,2024-02-10,2024-02-17,2024-02-24,2024-03-02,2024-03-09,2024-03-16,2024-03-23,2024-03-30,2024-04-06,2024-04-13,2024-04-20,2024-04-27,2024-05-04,2024-05-11,2024-05-18,2024-05-25,2024-06-01,2024-06-08,2024-06-15,2024-06-22,2024-06-29
52,ASPEN PHARMA,ONS,EDISON CHOUEST (BRAM) ,MINERACAO MORRO DO IPE (MMI),CONEXA SAÚDE,,MINERACAO MORRO DO IPE (MMI),MR. CAT (Grumari),AMOEDO,,ASPEN PHARMA,SISTAC,,PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),PEUGEOT CITROEN (BH),PETROMAIS (Origem Energia),PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),EVOLTZ,EVOLTZ,F,F,PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PETROMAIS (Origem Energia),EVOLTZ,PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),EVOLTZ,EVOLTZ,EVOLTZ,CYMI ,ROCK CITY S.A.,SILIMED,D1000,SILIMED,CLUBE DE REGATAS DO FLAMENGO,WSUT (Magalhanes Navegação),CONEXA SAÚDE,WSUT (Magalhanes Navegação),MINERACAO MORRO DO IPE (MMI),ALL NATIONS,F,F,CAMORIM
53,ALL NATIONS,CREB,BUREAU VERITAS,MR. CAT (Grumari),Zeedog,,MR. CAT (Grumari),GLOBO - RADIOS,SUBSEA 7,,ALL NATIONS,DESCOMPLICA,,PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),PEUGEOT CITROEN (BH),PETROMAIS (Origem Energia),PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),COCA COLA,COCA COLA,F,F,PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PETROMAIS (Origem Energia),COCA COLA,PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),COCA COLA,COCA COLA,COCA COLA,GLOBO - EDITORA GLOBO S.A.,CREB,ALMAVIVA,SILIMED,CLUBE DE REGATAS DO FLAMENGO,PORTO SUDESTE,CASA GRANADO,DGPAR (ALL CARE),MRO,MR. CAT (Grumari),MINERACAO MORRO DO IPE (MMI),F,F,Matrincha Transm. de Energia (MTE)
54,CAMORIM,SISTAC,CONEXA SAÚDE,GLOBO - RADIOS,ROCK CITY S.A.,,,,ASPEN PHARMA,,CAMORIM,GLOBO - CAFÉ ORFEU,,EVOLTZ,EVOLTZ,PETROMAIS (Origem Energia),COCA COLA,PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),PROFARMA,PROFARMA,F,F,PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),EVOLTZ,CATARATAS DO IGUAÇU,PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),PROFARMA,PROFARMA,PROFARMA,SILIMED,SISTAC,INSPIRA MUNDANÇA PART.,ALMAVIVA,ALMAVIVA,ALMAVIVA,MRO,ASPEN PHARMA,DELLY COSMETICOS,GLOBO - RADIOS,CAMORIM,F,F,CERAS JOHNSON
55,Matrincha Transm. de Energia (MTE),DESCOMPLICA,Zeedog,,FUNBIO,,,,GLOBO - RADIOS,,Matrincha Transm. de Energia (MTE),,,COCA COLA,PROFARMA,PETROMAIS (Origem Energia),PROFARMA,PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),CATARATAS DO IGUAÇU,CATARATAS DO IGUAÇU,F,F,PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),COCA COLA,OLX (Bom Negócio),PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),OLX (Bom Negócio),OLX (Bom Negócio),OLX (Bom Negócio),CLUBE DE REGATAS DO FLAMENGO,DESCOMPLICA,CASA GRANADO,INSPIRA MUNDANÇA PART.,WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),DELLY COSMETICOS,VERDE AMBIENTAL,ENERFLEX,,MR. CAT (Grumari),F,F,
56,CERAS JOHNSON,GLOBO - CAFÉ ORFEU,ROCK CITY S.A.,,DISTRIBUIDORA RECORD,,,,,,CERAS JOHNSON,,,PROFARMA,CATARATAS DO IGUAÇU,COCA COLA,CATARATAS DO IGUAÇU,PROFARMA,PROFARMA,EVOLTZ,EVOLTZ,CYMI ,OLX (Bom Negócio),F,F,COCA COLA,CATARATAS DO IGUAÇU,CATARATAS DO IGUAÇU,EVOLTZ,CATARATAS DO IGUAÇU,TECHNOS,EVOLTZ,COCA COLA,EVOLTZ,CYMI ,CYMI ,CYMI ,ALMAVIVA,GLOBO - CAFÉ ORFEU,SAPURA,CASA GRANADO,MRO,CASA GRANADO,NATIONAL OIL,FUNBIO,PETRONAS,,Matrincha Transm. de Energia (MTE),F,F,
57,,,FUNBIO,,CORPSERVICES,,,,,,,,,CATARATAS DO IGUAÇU,OLX (Bom Negócio),PROFARMA,CYMI ,CATARATAS DO IGUAÇU,CATARATAS DO IGUAÇU,PROFARMA,COCA COLA,GLOBO - EDITORA GLOBO S.A.,CYMI ,F,F,CATARATAS DO IGUAÇU,OLX (Bom Negócio),OLX (Bom Negócio),CATARATAS DO IGUAÇU,OLX (Bom Negócio),D1000,COCA COLA,OLX (Bom Negócio),COCA COLA,GLOBO - EDITORA GLOBO S.A.,GLOBO - EDITORA GLOBO S.A.,GLOBO - EDITORA GLOBO S.A.,INSPIRA MUNDANÇA PART.,,KATRIUM,MRO,KATRIUM,KATRIUM,ENERFLEX,DISTRIBUIDORA RECORD,LIBRA TERMINAL PORTUARIO (ICTSI),,GLOBO - RADIOS,F,F,
58,,,DISTRIBUIDORA RECORD,,,,,,,,,,,OLX (Bom Negócio),CYMI ,CATARATAS DO IGUAÇU,TECHNOS,CYMI ,CYMI ,CYMI ,PROFARMA,D1000,TECHNOS,F,F,OLX (Bom Negócio),TECHNOS,TECHNOS,TECHNOS,TECHNOS,SILIMED,OLX (Bom Negócio),TECHNOS,PROFARMA,SILIMED,SILIMED,SILIMED,CASA GRANADO,,OCEÂNICA ENGENHARIA,SAPURA,DELLY COSMETICOS,DELLY COSMETICOS,BRAMEX,CORPSERVICES,DOMINOS (DP Brasil Participações),,CERAS JOHNSON,F,F,
59,,,CORPSERVICES,,,,,,,,,,,GLOBO - EDITORA GLOBO S.A.,TECHNOS,OLX (Bom Negócio),D1000,TECHNOS,TECHNOS,TECHNOS,CATARATAS DO IGUAÇU,CLUBE DE REGATAS DO FLAMENGO,GLOBO - EDITORA GLOBO S.A.,F,F,CYMI ,GLOBO - EDITORA GLOBO S.A.,GLOBO - EDITORA GLOBO S.A.,GLOBO - EDITORA GLOBO S.A.,D1000,PORTO SUDESTE,TECHNOS,D1000,OLX (Bom Negócio),CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,MRO,,FAZENDA AGRO SB (Opportunity),KATRIUM,OCEÂNICA ENGENHARIA,NATIONAL OIL,PETRONAS,,VINCI PARTNERS (FUNDOS),,,F,F,
60,,,,,,,,,,,,,,SILIMED,GLOBO - EDITORA GLOBO S.A.,CYMI ,CLUBE DE REGATAS DO FLAMENGO,D1000,D1000,GLOBO - EDITORA GLOBO S.A.,CYMI ,ALMAVIVA,D1000,F,F,TECHNOS,SILIMED,SILIMED,D1000,SILIMED,WSUT (Magalhanes Navegação),D1000,SILIMED,CYMI ,ALMAVIVA,ALMAVIVA,ALMAVIVA,KATRIUM,,BRAMEX,OCEÂNICA ENGENHARIA,ENERFLEX,OCEÂNICA ENGENHARIA,LIBRA TERMINAL PORTUARIO (ICTSI),,BARCELOS,,,F,F,
61,,,,,,,,,,,,,,CLUBE DE REGATAS DO FLAMENGO,D1000,TECHNOS,PORTO SUDESTE,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,D1000,GLOBO - EDITORA GLOBO S.A.,WSUT (Magalhanes Navegação),CLUBE DE REGATAS DO FLAMENGO,F,F,GLOBO - EDITORA GLOBO S.A.,PORTO SUDESTE,PORTO SUDESTE,SILIMED,PORTO SUDESTE,INSPIRA MUNDANÇA PART.,SILIMED,PORTO SUDESTE,GLOBO - EDITORA GLOBO S.A.,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,NATIONAL OIL,,SUPERMERCADO ZONA SUL,FAZENDA AGRO SB (Opportunity),PETRONAS,ENERFLEX,CANAL DE ISABEL II (Emissão S.A.),,CONEXA SAÚDE,,,F,F,
