,2023-07-15,2023-07-22,2023-07-29,2023-08-05,2023-08-12,2023-08-19,2023-08-26,2023-09-02,2023-09-09,2023-09-16,2023-09-23,2023-09-30,2023-10-07,2023-10-14,2023-10-21,2023-10-28,2023-11-04,2023-11-11,2023-11-18,2023-11-25,2023-12-02,2023-12-09,2023-12-16,2023-12-23,2023-12-30,2024-01-06,2024-01-13,2024-01-20,2024-01-27,2024-02-03,2024-02-10,2024-02-17,2024-02-24,2024-03-02,2024-03-09,2024-03-16,2024-03-23,2024-03-30,2024-04-06,2024-04-13,2024-04-20,2024-04-27,2024-05-04,2024-05-11,2024-05-18,2024-05-25,2024-06-01,2024-06-08,2024-06-15,2024-06-22,2024-06-29
32,,,,,,,,,,,,,,ENERFLEX,DELLY COSMETICOS,ENERFLEX,ENERFLEX,ENERFLEX,FAZENDA AGRO SB (Opportunity),DELLY COSMETICOS,DELLY COSMETICOS,Reichhold do Brasil (Polyint Group),KATRIUM,F,F,SAPURA,SERTANEJA,SERTANEJA,SERTANEJA,SERTANEJA,DIMENSIONAL (Benfour),SERTANEJA,MARINE PRODUCTION SYSTEM DO BRASIL LTDA. ,OCEÂNICA ENGENHARIA,TELEPAZIO BRASIL (Leonardo),Reichhold do Brasil (Polyint Group),Reichhold do Brasil (Polyint Group),Reichhold do Brasil (Polyint Group),,,,,,,,,,,F,F,
33,,,,,,,,,,,,,,FAZENDA AGRO SB (Opportunity),OCEÂNICA ENGENHARIA,TAG,TAG,Reichhold do Brasil (Polyint Group),Reichhold do Brasil (Polyint Group),OCEÂNICA ENGENHARIA,OCEÂNICA ENGENHARIA,MARINE PRODUCTION SYSTEM DO BRASIL LTDA. ,DELLY COSMETICOS,F,F,KATRIUM,MARINE PRODUCTION SYSTEM DO BRASIL LTDA. ,MARINE PRODUCTION SYSTEM DO BRASIL LTDA. ,DIMENSIONAL (Benfour),DIMENSIONAL (Benfour),LABORATORIES SERVIER,MARINE PRODUCTION SYSTEM DO BRASIL LTDA. ,DIMENSIONAL (Benfour),FAZENDA AGRO SB (Opportunity),SONANGOL STARFISH,TAG,TAG,TAG,,,,,,,,,,,F,F,
34,,,,,,,,,,,,,,,ENERFLEX,DIMENSIONAL (Benfour),DIMENSIONAL (Benfour),FUGRO,TAG,ENERFLEX,FAZENDA AGRO SB (Opportunity),FUGRO,OCEÂNICA ENGENHARIA,F,F,DELLY COSMETICOS,LABORATORIES SERVIER,LABORATORIES SERVIER,LABORATORIES SERVIER,LABORATORIES SERVIER,BOLT Energia,DIMENSIONAL (Benfour),LABORATORIES SERVIER,SERTANEJA,ITAGUAI (ICN),FUGRO,FUGRO,FUGRO,,,,,,,,,,,F,F,
35,,,,,,,,,,,,,,,FAZENDA AGRO SB (Opportunity),FUNDOS BBI Fin Health - Investidas,FUNDOS BBI Fin Health - Investidas,FCC,FUGRO,FAZENDA AGRO SB (Opportunity),Reichhold do Brasil (Polyint Group),AET STS,ENERFLEX,F,F,NATIONAL OIL,AET STS,AET STS,BOLT Energia,BOLT Energia,AXXON (BR MARINAS),LABORATORIES SERVIER,AET STS,MARINE PRODUCTION SYSTEM DO BRASIL LTDA. ,BIOMERIEUX,FUNDOS BBI Fin Health - Investidas,FUNDOS BBI Fin Health - Investidas,FUNDOS BBI Fin Health - Investidas,,,,,,,,,,,F,F,
36,,,,,,,,,,,,,,,TAG,BOLT Energia,BOLT Energia,TELEPAZIO BRASIL (Leonardo),FUNDOS BBI Fin Health - Investidas,Reichhold do Brasil (Polyint Group),TAG,CHANNEL (EUROPRESTIGIO),FAZENDA AGRO SB (Opportunity),F,F,ENERFLEX,CHANNEL (EUROPRESTIGIO),CHANNEL (EUROPRESTIGIO),AXXON (BR MARINAS),AXXON (BR MARINAS),GEOPARK,AET STS,BOLT Energia,DIMENSIONAL (Benfour),GRUPO COMPONENTES (Opportunity) - Eletron,FCC,FCC,FCC,,,,,,,,,,,F,F,
37,,,,,,,,,,,,,,,DIMENSIONAL (Benfour),FCC,FCC,SONANGOL STARFISH,FCC,TAG,MARINE PRODUCTION SYSTEM DO BRASIL LTDA. ,GALP,Reichhold do Brasil (Polyint Group),F,F,FAZENDA AGRO SB (Opportunity),GALP,GALP,GEOPARK,GEOPARK,H. STTRATNER,BOLT Energia,CHANNEL (EUROPRESTIGIO),LABORATORIES SERVIER,MANUCHAR,TELEPAZIO BRASIL (Leonardo),GALP,GALP,,,,,,,,,,,F,F,
38,,,,,,,,,,,,,,,FUNDOS BBI Fin Health - Investidas,AXXON (BR MARINAS),AXXON (BR MARINAS),ITAGUAI (ICN),TELEPAZIO BRASIL (Leonardo),FUGRO,FUGRO,GLOBO - FAMILY OFFICE,MARINE PRODUCTION SYSTEM DO BRASIL LTDA. ,F,F,SERTANEJA,GLOBO - FAMILY OFFICE,GLOBO - FAMILY OFFICE,H. STTRATNER,H. STTRATNER,CNOOC,CHANNEL (EUROPRESTIGIO),AXXON (BR MARINAS),AET STS,Guaraciaba Transmissora de Energia,GALP,GLOBO - FAMILY OFFICE,GLOBO - FAMILY OFFICE,,,,,,,,,,,F,F,
39,,,,,,,,,,,,,,,BOLT Energia,TELEPAZIO BRASIL (Leonardo),TELEPAZIO BRASIL (Leonardo),BIOMERIEUX,SONANGOL STARFISH,FUNDOS BBI Fin Health - Investidas,FUNDOS BBI Fin Health - Investidas,JOTUN IND. TINTAS,FUGRO,F,F,MARINE PRODUCTION SYSTEM DO BRASIL LTDA. ,JOTUN IND. TINTAS,JOTUN IND. TINTAS,CNOOC,CNOOC,ECOPETROL,AXXON (BR MARINAS),GEOPARK,BOLT Energia,GME AEROSPACE,SONANGOL STARFISH,JOTUN IND. TINTAS,JOTUN IND. TINTAS,,,,,,,,,,,F,F,
40,,,,,,,,,,,,,,,AXXON (BR MARINAS),GEOPARK,GEOPARK,GRUPO COMPONENTES (Opportunity) - Eletron,ITAGUAI (ICN),FCC,AET STS,COMSHELL SOC PREV. PRIVADA,AET STS,F,F,LABORATORIES SERVIER,COMSHELL SOC PREV. PRIVADA,GEFCO,TULIP CAMPOS HOTELARIA,ECOPETROL,UNIVERSAL MUSICAL,GEOPARK,H. STTRATNER,CHANNEL (EUROPRESTIGIO),GLOBO - FRM/C.FUTURA,GLOBO - FAMILY OFFICE,COMSHELL SOC PREV. PRIVADA,COMSHELL SOC PREV. PRIVADA,,,,,,,,,,,F,F,
41,,,,,,,,,,,,,,,GEOPARK,SONANGOL STARFISH,SONANGOL STARFISH,MANUCHAR,BIOMERIEUX,TELEPAZIO BRASIL (Leonardo),FCC,NEW WAVE,CHANNEL (EUROPRESTIGIO),F,F,AET STS,NEW WAVE,TULIP CAMPOS HOTELARIA,QV SAUDE,UNIVERSAL MUSICAL,FERNANDES ARAÚJO,H. STTRATNER,CNOOC,AXXON (BR MARINAS),KOMPASS ENERGIA,ITAGUAI (ICN),NEW WAVE,NEW WAVE,,,,,,,,,,,F,F,
