,equipe,2023-07-15,2023-07-22,2023-07-29,2023-08-05,2023-08-12,2023-08-19,2023-08-26,2023-09-02,2023-09-09,2023-09-16,2023-09-23,2023-09-30,2023-10-07,2023-10-14,2023-10-21,2023-10-28,2023-11-04,2023-11-11,2023-11-18,2023-11-25,2023-12-02,2023-12-09,2023-12-16,2023-12-23,2023-12-30,2024-01-06,2024-01-13,2024-01-20,2024-01-27,2024-02-03,2024-02-10,2024-02-17,2024-02-24,2024-03-02,2024-03-09,2024-03-16,2024-03-23,2024-03-30,2024-04-06,2024-04-13,2024-04-20,2024-04-27,2024-05-04,2024-05-11,2024-05-18,2024-05-25,2024-06-01,2024-06-08,2024-06-15,2024-06-22,2024-06-29
10,staff3_10,TOTAL,TOTAL,,,,,,,,,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,F,F,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,,,,,F,F,
11,staff3_11,,,,BR MALLS,BR MALLS,BR MALLS,BR MALLS,BR MALLS,BR MALLS,,,,,BR MALLS,BR MALLS,BR MALLS,BR MALLS,BR MALLS,BR MALLS,BR MALLS,BR MALLS,,,F,F,BR MALLS,BR MALLS,BR MALLS,BR MALLS,BR MALLS,BR MALLS,BR MALLS,BR MALLS,BR MALLS,BR MALLS,BR MALLS,BR MALLS,BR MALLS,,,,,BR MALLS,BR MALLS,,BR MALLS,BR MALLS,BR MALLS,F,F,BR MALLS
12,staff3_12,GGSH,GGSH,,,,,,,GGSH,GGSH,GGSH,GGSH,,GGSH,GGSH,,,GGSH,GGSH,GGSH,GGSH,GGSH,GGSH,F,F,GGSH,GGSH,GGSH,GGSH,GGSH,GGSH,GGSH,GGSH,GGSH,GGSH,GGSH,GGSH,GGSH,GGSH,GGSH,GGSH,GGSH,GGSH,GGSH,,,,,F,F,
13,staff3_13,,,,ALIANSCE,ALIANSCE,,,,,,ALIANSCE,ALIANSCE,ALIANSCE,ALIANSCE,,ALIANSCE,ALIANSCE,ALIANSCE,ALIANSCE,ALIANSCE,ALIANSCE,ALIANSCE,ALIANSCE,F,F,ALIANSCE,ALIANSCE,ALIANSCE,ALIANSCE,ALIANSCE,ALIANSCE,ALIANSCE,ALIANSCE,ALIANSCE,ALIANSCE,ALIANSCE,ALIANSCE,ALIANSCE,,ALIANSCE,ALIANSCE,,,,,ALIANSCE,ALIANSCE,ALIANSCE,F,F,ALIANSCE
14,staff3_14,EQUINOR,EQUINOR,,,EQUINOR,EQUINOR,EQUINOR,EQUINOR,,,,,,,EQUINOR,EQUINOR,EQUINOR,EQUINOR,EQUINOR,EQUINOR,EQUINOR,EQUINOR,EQUINOR,F,F,EQUINOR,EQUINOR,EQUINOR,EQUINOR,EQUINOR,,EQUINOR,EQUINOR,EQUINOR,EQUINOR,EQUINOR,EQUINOR,EQUINOR,EQUINOR,EQUINOR,EQUINOR,EQUINOR,EQUINOR,EQUINOR,,,,,F,F,
15,staff3_15,,,,V2i,V2i,,,V2i,V2i,V2i,V2i,,,V2i,V2i,V2i,V2i,V2i,V2i,V2i,V2i,,,F,F,V2i,V2i,V2i,V2i,V2i,V2i,V2i,V2i,V2i,V2i,V2i,V2i,V2i,,,,,V2i,V2i,,V2i,V2i,V2i,F,F,V2i
16,staff3_16,PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),,,,,,,,,PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),,PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),F,F,PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),,,,,F,F,
17,staff3_17,,,PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),,,,,,,,PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),F,F,PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),,PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),,,,,PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),F,F,PETROMAIS (Origem Energia)
18,staff3_18,EVOLTZ,EVOLTZ,,,,,,,EVOLTZ,EVOLTZ,EVOLTZ,,,EVOLTZ,EVOLTZ,EVOLTZ,EVOLTZ,EVOLTZ,EVOLTZ,EVOLTZ,EVOLTZ,EVOLTZ,EVOLTZ,F,F,,,,,,,,,EVOLTZ,EVOLTZ,EVOLTZ,EVOLTZ,EVOLTZ,EVOLTZ,EVOLTZ,EVOLTZ,,EVOLTZ,EVOLTZ,,,,,F,F,
19,staff3_19,,,COCA COLA,COCA COLA,,,,,,,,COCA COLA,COCA COLA,COCA COLA,COCA COLA,COCA COLA,COCA COLA,COCA COLA,COCA COLA,COCA COLA,,,,F,F,,,,COCA COLA,COCA COLA,COCA COLA,COCA COLA,,COCA COLA,COCA COLA,COCA COLA,COCA COLA,COCA COLA,,,,COCA COLA,COCA COLA,,,COCA COLA,COCA COLA,COCA COLA,F,F,
20,staff3_20,PROFARMA,PROFARMA,,,PROFARMA,PROFARMA,PROFARMA,,,,,,,PROFARMA,PROFARMA,,,,,,PROFARMA,PROFARMA,PROFARMA,F,F,PROFARMA,,,,PROFARMA,PROFARMA,PROFARMA,PROFARMA,PROFARMA,PROFARMA,PROFARMA,PROFARMA,PROFARMA,,,,,PROFARMA,PROFARMA,,,PROFARMA,PROFARMA,F,F,PROFARMA
21,staff3_21,,,CATARATAS DO IGUAÇU,CATARATAS DO IGUAÇU,,,,,CATARATAS DO IGUAÇU,CATARATAS DO IGUAÇU,CATARATAS DO IGUAÇU,,,,,CATARATAS DO IGUAÇU,CATARATAS DO IGUAÇU,,,CATARATAS DO IGUAÇU,CATARATAS DO IGUAÇU,CATARATAS DO IGUAÇU,CATARATAS DO IGUAÇU,F,F,CATARATAS DO IGUAÇU,CATARATAS DO IGUAÇU,CATARATAS DO IGUAÇU,CATARATAS DO IGUAÇU,,,,,CATARATAS DO IGUAÇU,CATARATAS DO IGUAÇU,CATARATAS DO IGUAÇU,CATARATAS DO IGUAÇU,CATARATAS DO IGUAÇU,CATARATAS DO IGUAÇU,CATARATAS DO IGUAÇU,CATARATAS DO IGUAÇU,CATARATAS DO IGUAÇU,CATARATAS DO IGUAÇU,,,,,,F,F,
22,staff3_22,OLX (Bom Negócio),OLX (Bom Negócio),,,,,,,,,,OLX (Bom Negócio),OLX (Bom Negócio),OLX (Bom Negócio),OLX (Bom Negócio),OLX (Bom Negócio),OLX (Bom Negócio),OLX (Bom Negócio),OLX (Bom Negócio),OLX (Bom Negócio),,,,F,F,,,,,OLX (Bom Negócio),OLX (Bom Negócio),OLX (Bom Negócio),OLX (Bom Negócio),OLX (Bom Negócio),OLX (Bom Negócio),OLX (Bom Negócio),OLX (Bom Negócio),OLX (Bom Negócio),,,,OLX (Bom Negócio),OLX (Bom Negócio),OLX (Bom Negócio),OLX (Bom Negócio),OLX (Bom Negócio),,,F,F,
23,staff3_23,,,,CYMI ,CYMI ,CYMI ,CYMI ,CYMI ,,,,,,CYMI ,CYMI ,,,,,CYMI ,CYMI ,CYMI ,CYMI ,F,F,CYMI ,CYMI ,CYMI ,CYMI ,,,,,CYMI ,CYMI ,CYMI ,CYMI ,CYMI ,,CYMI ,CYMI ,,,,,,CYMI ,CYMI ,F,F,CYMI 
24,staff3_24,TECHNOS,TECHNOS,,,,,,,TECHNOS,TECHNOS,TECHNOS,,,,,TECHNOS,TECHNOS,,,,TECHNOS,TECHNOS,TECHNOS,F,F,TECHNOS,,,,TECHNOS,TECHNOS,TECHNOS,TECHNOS,TECHNOS,TECHNOS,TECHNOS,TECHNOS,TECHNOS,TECHNOS,TECHNOS,TECHNOS,,TECHNOS,TECHNOS,,,,,F,F,
25,staff3_25,,,GLOBO - EDITORA GLOBO S.A.,GLOBO - EDITORA GLOBO S.A.,,,,,,,,GLOBO - EDITORA GLOBO S.A.,GLOBO - EDITORA GLOBO S.A.,GLOBO - EDITORA GLOBO S.A.,GLOBO - EDITORA GLOBO S.A.,GLOBO - EDITORA GLOBO S.A.,,,,,,,GLOBO - EDITORA GLOBO S.A.,F,F,GLOBO - EDITORA GLOBO S.A.,GLOBO - EDITORA GLOBO S.A.,GLOBO - EDITORA GLOBO S.A.,GLOBO - EDITORA GLOBO S.A.,GLOBO - EDITORA GLOBO S.A.,GLOBO - EDITORA GLOBO S.A.,GLOBO - EDITORA GLOBO S.A.,,GLOBO - EDITORA GLOBO S.A.,GLOBO - EDITORA GLOBO S.A.,GLOBO - EDITORA GLOBO S.A.,GLOBO - EDITORA GLOBO S.A.,GLOBO - EDITORA GLOBO S.A.,,,GLOBO - EDITORA GLOBO S.A.,GLOBO - EDITORA GLOBO S.A.,,GLOBO - EDITORA GLOBO S.A.,GLOBO - EDITORA GLOBO S.A.,GLOBO - EDITORA GLOBO S.A.,,,F,F,
26,staff3_26,D1000,D1000,,,D1000,D1000,D1000,,,,,,,,D1000,D1000,D1000,D1000,D1000,D1000,D1000,D1000,D1000,F,F,D1000,,,,,,,,D1000,D1000,D1000,D1000,D1000,,D1000,D1000,,,,,,D1000,D1000,F,F,D1000
27,staff3_27,,,SILIMED,SILIMED,,,,,SILIMED,SILIMED,SILIMED,,,SILIMED,SILIMED,,,,,,,,,F,F,SILIMED,SILIMED,SILIMED,SILIMED,SILIMED,SILIMED,SILIMED,SILIMED,SILIMED,SILIMED,SILIMED,SILIMED,SILIMED,SILIMED,SILIMED,SILIMED,SILIMED,SILIMED,,,,,,F,F,
28,staff3_28,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,,,,,,,,,,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,F,F,CLUBE DE REGATAS DO FLAMENGO,,,,,,,,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,,,,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,,,F,F,
29,staff3_29,,,,PORTO SUDESTE,PORTO SUDESTE,PORTO SUDESTE,PORTO SUDESTE,PORTO SUDESTE,,,,,,,,,PORTO SUDESTE,PORTO SUDESTE,,,,,,F,F,PORTO SUDESTE,PORTO SUDESTE,PORTO SUDESTE,PORTO SUDESTE,PORTO SUDESTE,PORTO SUDESTE,PORTO SUDESTE,PORTO SUDESTE,PORTO SUDESTE,PORTO SUDESTE,PORTO SUDESTE,PORTO SUDESTE,PORTO SUDESTE,,,,,PORTO SUDESTE,PORTO SUDESTE,,,PORTO SUDESTE,PORTO SUDESTE,F,F,PORTO SUDESTE
30,staff3_30,ALMAVIVA,ALMAVIVA,,,,,,,ALMAVIVA,ALMAVIVA,ALMAVIVA,,,ALMAVIVA,ALMAVIVA,ALMAVIVA,ALMAVIVA,ALMAVIVA,ALMAVIVA,ALMAVIVA,ALMAVIVA,ALMAVIVA,ALMAVIVA,F,F,,,,,,,,,ALMAVIVA,ALMAVIVA,ALMAVIVA,ALMAVIVA,ALMAVIVA,ALMAVIVA,ALMAVIVA,ALMAVIVA,ALMAVIVA,ALMAVIVA,,,,,,F,F,
31,staff3_31,,,WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),,,,,,,,WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),,,,,,,,F,F,WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),,,,WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),,,F,F,
32,staff3_32,,,,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,,,,,,,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,F,F,INSPIRA MUNDANÇA PART.,,,,,,,,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,,,,,,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,F,F,INSPIRA MUNDANÇA PART.
33,staff3_33,CASA GRANADO,CASA GRANADO,,,,,,,CASA GRANADO,CASA GRANADO,CASA GRANADO,,,CASA GRANADO,CASA GRANADO,,,,,,,,,F,F,CASA GRANADO,CASA GRANADO,CASA GRANADO,CASA GRANADO,CASA GRANADO,CASA GRANADO,CASA GRANADO,CASA GRANADO,CASA GRANADO,CASA GRANADO,CASA GRANADO,CASA GRANADO,CASA GRANADO,CASA GRANADO,CASA GRANADO,CASA GRANADO,,CASA GRANADO,CASA GRANADO,,,,,F,F,
34,staff3_34,,MRO,MRO,,,,,,,,,MRO,MRO,MRO,MRO,MRO,MRO,MRO,MRO,MRO,MRO,MRO,MRO,F,F,MRO,,,,,,,,MRO,MRO,MRO,MRO,MRO,,,MRO,MRO,,MRO,MRO,MRO,,,F,F,
35,staff3_35,,,,SAPURA,SAPURA,SAPURA,SAPURA,SAPURA,,,,,,,,,SAPURA,SAPURA,,,,,,F,F,SAPURA,SAPURA,SAPURA,SAPURA,SAPURA,SAPURA,SAPURA,SAPURA,SAPURA,SAPURA,SAPURA,SAPURA,SAPURA,,SAPURA,SAPURA,,,,,,SAPURA,SAPURA,F,F,SAPURA
36,staff3_36,KATRIUM,KATRIUM,,,,,,,KATRIUM,KATRIUM,KATRIUM,,,KATRIUM,KATRIUM,KATRIUM,KATRIUM,KATRIUM,KATRIUM,KATRIUM,KATRIUM,KATRIUM,KATRIUM,F,F,,,,,,,,,KATRIUM,KATRIUM,KATRIUM,KATRIUM,KATRIUM,KATRIUM,KATRIUM,KATRIUM,KATRIUM,KATRIUM,,,,,,F,F,
37,staff3_37,,,DELLY COSMETICOS,DELLY COSMETICOS,,,,,,,,DELLY COSMETICOS,DELLY COSMETICOS,DELLY COSMETICOS,DELLY COSMETICOS,DELLY COSMETICOS,,,,,,,,F,F,DELLY COSMETICOS,DELLY COSMETICOS,DELLY COSMETICOS,DELLY COSMETICOS,DELLY COSMETICOS,DELLY COSMETICOS,DELLY COSMETICOS,DELLY COSMETICOS,DELLY COSMETICOS,DELLY COSMETICOS,DELLY COSMETICOS,DELLY COSMETICOS,DELLY COSMETICOS,,,,DELLY COSMETICOS,DELLY COSMETICOS,DELLY COSMETICOS,DELLY COSMETICOS,DELLY COSMETICOS,,,F,F,
38,staff3_38,,,,NATIONAL OIL,NATIONAL OIL,NATIONAL OIL,NATIONAL OIL,NATIONAL OIL,,,,,,,NATIONAL OIL,NATIONAL OIL,NATIONAL OIL,NATIONAL OIL,NATIONAL OIL,NATIONAL OIL,NATIONAL OIL,NATIONAL OIL,NATIONAL OIL,F,F,NATIONAL OIL,,,,,,,,NATIONAL OIL,NATIONAL OIL,NATIONAL OIL,NATIONAL OIL,NATIONAL OIL,,,,,NATIONAL OIL,NATIONAL OIL,,,NATIONAL OIL,NATIONAL OIL,F,F,NATIONAL OIL
39,staff3_39,OCEÂNICA ENGENHARIA,OCEÂNICA ENGENHARIA,,,,,,,OCEÂNICA ENGENHARIA,OCEÂNICA ENGENHARIA,OCEÂNICA ENGENHARIA,,,OCEÂNICA ENGENHARIA,OCEÂNICA ENGENHARIA,,,,,,,,,F,F,OCEÂNICA ENGENHARIA,OCEÂNICA ENGENHARIA,OCEÂNICA ENGENHARIA,OCEÂNICA ENGENHARIA,OCEÂNICA ENGENHARIA,OCEÂNICA ENGENHARIA,OCEÂNICA ENGENHARIA,OCEÂNICA ENGENHARIA,OCEÂNICA ENGENHARIA,OCEÂNICA ENGENHARIA,OCEÂNICA ENGENHARIA,OCEÂNICA ENGENHARIA,OCEÂNICA ENGENHARIA,OCEÂNICA ENGENHARIA,OCEÂNICA ENGENHARIA,OCEÂNICA ENGENHARIA,OCEÂNICA ENGENHARIA,OCEÂNICA ENGENHARIA,,,,,,F,F,
