Client Name,Nome Retain,"Renovacao 
prevista para o FY23?","FY24 
Total hours ",Hours (assurance),Deadline,Tem trimestral ?
Reichhold do Brasil (Polyint Group),REICHHOLD,Yes,1200,670,Mar,No
SERTANEJA,SERTANEJA, Yes ,1200,1200,Mar,No
TAG,TAG, Yes ,1200,900,Fev,No
MARINE PRODUCTION SYSTEM DO BRASIL LTDA. ,MARINE, Yes ,1200,714,Fev,No
DIMENSIONAL (Benfour),Benfour, Yes ,1200,900,Off peak,No
FUGRO,FUGRO, Yes ,1200,900,Fev,No
LABORATORIES SERVIER,SERVIER, Yes ,1150,640,Fev,No
FUNDOS BBI Fin Health - Investidas,FINHEALTH, Yes ,1125,844,Abr,No
AET STS,AET, Yes ,1100,800,Jan / Mar,No
BOLT Energia,BOLT Energia, Yes ,1100,825,Abr,No
FCC,FCC, Yes ,1100,825,Mai,No
CHANNEL (EUROPRESTIGIO),EUROPRESTIGIO, Yes ,1068,650,Fev / Mar,No
AXXON (BR MARINAS),BR MARINAS, Yes ,1000,810,Fev,No
TELEPAZIO BRASIL (Leonardo),TELEPAZIO, Yes ,1000,600,Mar,No
GALP,PETROGAL, Yes ,1000,500,Apr,No
GEOPARK,GEOPARK, Yes ,1000,600,Fev,No
SONANGOL STARFISH,SONANGOL, Yes ,1000,950,Mai,No
GLOBO - FAMILY OFFICE,FAMILY OFFICE, Yes ,1000,630,Jun,No
H. STTRATNER,H STRATTNER, Yes ,910,683,Jun,No
ITAGUAI (ICN),ICN, Yes ,900,675,Fev,No
JOTUN IND. TINTAS,JOTUN, Yes ,900,750,Mar,No
CNOOC,CNOOC, Yes ,870,653,Mar,No
BIOMERIEUX,BIOMERIEUX, Yes ,800,600,Jan / Fev,No
COMSHELL SOC PREV. PRIVADA,COMSHELL, Yes ,800,600,Mar,No
ECOPETROL,ECOPETROL, Yes ,800,600,Fev,No
GRUPO COMPONENTES (Opportunity) - Eletron,OPPORTUNITY, Yes ,800,560,Fev,No
NEW WAVE,NEW WAVE, Yes ,800,560,Fev / Abr / Mai,No
UNIVERSAL MUSICAL,UNIVERSAL, Yes ,800,600,Abr,No
MANUCHAR,MANUCHAR, Yes ,800,600,Fev,No
OCEANEERING,MARINE, Yes ,800,476,Fev,No
